task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,logistic_regression,0.1,13,16,F,F,49
gender,logistic_regression,0.1,13,16,F,M,22
gender,logistic_regression,0.1,13,16,M,F,32
gender,logistic_regression,0.1,13,16,M,M,39
gender,random_forest,0.1,13,16,F,F,53
gender,random_forest,0.1,13,16,F,M,18
gender,random_forest,0.1,13,16,M,F,28
gender,random_forest,0.1,13,16,M,M,43
gender,hist_gradient_boosting,0.1,13,16,F,F,71
gender,hist_gradient_boosting,0.1,13,16,F,M,0
gender,hist_gradient_boosting,0.1,13,16,M,F,71
gender,hist_gradient_boosting,0.1,13,16,M,M,0
gender,mlp,0.1,13,16,F,F,41
gender,mlp,0.1,13,16,F,M,30
gender,mlp,0.1,13,16,M,F,45
gender,mlp,0.1,13,16,M,M,26
gender,logistic_regression,0.1,21,16,F,F,44
gender,logistic_regression,0.1,21,16,F,M,27
gender,logistic_regression,0.1,21,16,M,F,22
gender,logistic_regression,0.1,21,16,M,M,49
gender,random_forest,0.1,21,16,F,F,50
gender,random_forest,0.1,21,16,F,M,21
gender,random_forest,0.1,21,16,M,F,26
gender,random_forest,0.1,21,16,M,M,45
gender,hist_gradient_boosting,0.1,21,16,F,F,71
gender,hist_gradient_boosting,0.1,21,16,F,M,0
gender,hist_gradient_boosting,0.1,21,16,M,F,71
gender,hist_gradient_boosting,0.1,21,16,M,M,0
gender,mlp,0.1,21,16,F,F,62
gender,mlp,0.1,21,16,F,M,9
gender,mlp,0.1,21,16,M,F,56
gender,mlp,0.1,21,16,M,M,15
gender,logistic_regression,0.1,34,16,F,F,37
gender,logistic_regression,0.1,34,16,F,M,34
gender,logistic_regression,0.1,34,16,M,F,28
gender,logistic_regression,0.1,34,16,M,M,43
gender,random_forest,0.1,34,16,F,F,37
gender,random_forest,0.1,34,16,F,M,34
gender,random_forest,0.1,34,16,M,F,33
gender,random_forest,0.1,34,16,M,M,38
gender,hist_gradient_boosting,0.1,34,16,F,F,71
gender,hist_gradient_boosting,0.1,34,16,F,M,0
gender,hist_gradient_boosting,0.1,34,16,M,F,71
gender,hist_gradient_boosting,0.1,34,16,M,M,0
gender,mlp,0.1,34,16,F,F,32
gender,mlp,0.1,34,16,F,M,39
gender,mlp,0.1,34,16,M,F,20
gender,mlp,0.1,34,16,M,M,51
gender,logistic_regression,0.1,55,16,F,F,47
gender,logistic_regression,0.1,55,16,F,M,24
gender,logistic_regression,0.1,55,16,M,F,23
gender,logistic_regression,0.1,55,16,M,M,48
gender,random_forest,0.1,55,16,F,F,54
gender,random_forest,0.1,55,16,F,M,17
gender,random_forest,0.1,55,16,M,F,35
gender,random_forest,0.1,55,16,M,M,36
gender,hist_gradient_boosting,0.1,55,16,F,F,71
gender,hist_gradient_boosting,0.1,55,16,F,M,0
gender,hist_gradient_boosting,0.1,55,16,M,F,71
gender,hist_gradient_boosting,0.1,55,16,M,M,0
gender,mlp,0.1,55,16,F,F,62
gender,mlp,0.1,55,16,F,M,9
gender,mlp,0.1,55,16,M,F,66
gender,mlp,0.1,55,16,M,M,5
gender,logistic_regression,0.1,89,16,F,F,51
gender,logistic_regression,0.1,89,16,F,M,20
gender,logistic_regression,0.1,89,16,M,F,15
gender,logistic_regression,0.1,89,16,M,M,56
gender,random_forest,0.1,89,16,F,F,55
gender,random_forest,0.1,89,16,F,M,16
gender,random_forest,0.1,89,16,M,F,20
gender,random_forest,0.1,89,16,M,M,51
gender,hist_gradient_boosting,0.1,89,16,F,F,71
gender,hist_gradient_boosting,0.1,89,16,F,M,0
gender,hist_gradient_boosting,0.1,89,16,M,F,71
gender,hist_gradient_boosting,0.1,89,16,M,M,0
gender,mlp,0.1,89,16,F,F,50
gender,mlp,0.1,89,16,F,M,21
gender,mlp,0.1,89,16,M,F,32
gender,mlp,0.1,89,16,M,M,39
gender,logistic_regression,0.25,13,38,F,F,48
gender,logistic_regression,0.25,13,38,F,M,23
gender,logistic_regression,0.25,13,38,M,F,14
gender,logistic_regression,0.25,13,38,M,M,57
gender,random_forest,0.25,13,38,F,F,54
gender,random_forest,0.25,13,38,F,M,17
gender,random_forest,0.25,13,38,M,F,13
gender,random_forest,0.25,13,38,M,M,58
gender,hist_gradient_boosting,0.25,13,38,F,F,71
gender,hist_gradient_boosting,0.25,13,38,F,M,0
gender,hist_gradient_boosting,0.25,13,38,M,F,71
gender,hist_gradient_boosting,0.25,13,38,M,M,0
gender,mlp,0.25,13,38,F,F,45
gender,mlp,0.25,13,38,F,M,26
gender,mlp,0.25,13,38,M,F,33
gender,mlp,0.25,13,38,M,M,38
gender,logistic_regression,0.25,21,38,F,F,61
gender,logistic_regression,0.25,21,38,F,M,10
gender,logistic_regression,0.25,21,38,M,F,16
gender,logistic_regression,0.25,21,38,M,M,55
gender,random_forest,0.25,21,38,F,F,53
gender,random_forest,0.25,21,38,F,M,18
gender,random_forest,0.25,21,38,M,F,24
gender,random_forest,0.25,21,38,M,M,47
gender,hist_gradient_boosting,0.25,21,38,F,F,71
gender,hist_gradient_boosting,0.25,21,38,F,M,0
gender,hist_gradient_boosting,0.25,21,38,M,F,71
gender,hist_gradient_boosting,0.25,21,38,M,M,0
gender,mlp,0.25,21,38,F,F,63
gender,mlp,0.25,21,38,F,M,8
gender,mlp,0.25,21,38,M,F,55
gender,mlp,0.25,21,38,M,M,16
gender,logistic_regression,0.25,34,38,F,F,55
gender,logistic_regression,0.25,34,38,F,M,16
gender,logistic_regression,0.25,34,38,M,F,22
gender,logistic_regression,0.25,34,38,M,M,49
gender,random_forest,0.25,34,38,F,F,58
gender,random_forest,0.25,34,38,F,M,13
gender,random_forest,0.25,34,38,M,F,20
gender,random_forest,0.25,34,38,M,M,51
gender,hist_gradient_boosting,0.25,34,38,F,F,71
gender,hist_gradient_boosting,0.25,34,38,F,M,0
gender,hist_gradient_boosting,0.25,34,38,M,F,71
gender,hist_gradient_boosting,0.25,34,38,M,M,0
gender,mlp,0.25,34,38,F,F,48
gender,mlp,0.25,34,38,F,M,23
gender,mlp,0.25,34,38,M,F,15
gender,mlp,0.25,34,38,M,M,56
gender,logistic_regression,0.25,55,38,F,F,48
gender,logistic_regression,0.25,55,38,F,M,23
gender,logistic_regression,0.25,55,38,M,F,21
gender,logistic_regression,0.25,55,38,M,M,50
gender,random_forest,0.25,55,38,F,F,44
gender,random_forest,0.25,55,38,F,M,27
gender,random_forest,0.25,55,38,M,F,19
gender,random_forest,0.25,55,38,M,M,52
gender,hist_gradient_boosting,0.25,55,38,F,F,71
gender,hist_gradient_boosting,0.25,55,38,F,M,0
gender,hist_gradient_boosting,0.25,55,38,M,F,71
gender,hist_gradient_boosting,0.25,55,38,M,M,0
gender,mlp,0.25,55,38,F,F,48
gender,mlp,0.25,55,38,F,M,23
gender,mlp,0.25,55,38,M,F,42
gender,mlp,0.25,55,38,M,M,29
gender,logistic_regression,0.25,89,38,F,F,57
gender,logistic_regression,0.25,89,38,F,M,14
gender,logistic_regression,0.25,89,38,M,F,23
gender,logistic_regression,0.25,89,38,M,M,48
gender,random_forest,0.25,89,38,F,F,58
gender,random_forest,0.25,89,38,F,M,13
