split,metric,k,value
train,cosine_mean,,0.007735794809246216
train,cosine_std,,0.049878238373890514
train,cosine_min,,-0.10141773325656885
train,cosine_max,,0.12089345399854884
train,l2_distance_mean,,138.19759420318047
train,l2_distance_std,,4.823845496771821
train,l2_distance_min,,123.7848329661062
train,l2_distance_max,,150.81540952656243
train,absolute_delta_mean,,5.630134098733888
train,absolute_delta_std,,4.254181490919178
train,absolute_delta_min,,0.0003540823236107826
train,absolute_delta_max,,30.657886235043406
train,original_norm_mean,,0.43547167974391526
train,original_norm_std,,0.05032881173774303
train,original_norm_min,,0.3358296564388482
train,original_norm_max,,0.608395872683312
train,private_norm_mean,,138.200765813119
train,private_norm_std,,4.823043072133762
train,private_norm_min,,123.76313981616933
train,private_norm_max,,150.83874287594122
train,relative_l2_distance_mean,,321.45603077173
train,relative_l2_distance_std,,37.84434045498159
train,relative_l2_distance_min,,226.7456899489098
train,relative_l2_distance_max,,442.9956671639726
train,private_to_original_norm_ratio_mean,,321.46219339702725
train,private_to_original_norm_ratio_std,,37.835311345283564
train,private_to_original_norm_ratio_min,,226.81431962365673
train,private_to_original_norm_ratio_max,,442.99079903656263
train,neighbor_overlap,5,0.048684210526315795
train,neighbor_overlap,10,0.07828947368421053
train,neighbor_overlap,20,0.13815789473684212
test,cosine_mean,,0.004444470105327985
test,cosine_std,,0.05409394241300078
test,cosine_min,,-0.14239784422028234
test,cosine_max,,0.12509729797798472
test,l2_distance_mean,,137.79699600733042
test,l2_distance_std,,4.776907752501123
test,l2_distance_min,,125.67062408446277
test,l2_distance_max,,151.86375998929358
test,absolute_delta_mean,,5.623314128768858
test,absolute_delta_std,,4.229150090889685
test,absolute_delta_min,,0.00020651950035244226
test,absolute_delta_max,,32.09677026048303
test,original_norm_mean,,0.44208744484978685
test,original_norm_std,,0.07041193634569161
test,original_norm_min,,0.33330873483128737
test,original_norm_max,,0.8765038329515334
test,private_norm_mean,,137.79817036281915
test,private_norm_std,,4.77892280043163
test,private_norm_min,,125.66347260544698
test,private_norm_max,,151.89519247062952
test,relative_l2_distance_mean,,317.99837168342015
test,relative_l2_distance_std,,42.733774661058504
test,relative_l2_distance_min,,153.65715559687587
test,relative_l2_distance_max,,436.04266958472044
test,private_to_original_norm_ratio_mean,,318.00121492958635
test,private_to_original_norm_ratio_std,,42.73739954387736
test,private_to_original_norm_ratio_min,,153.68070065687542
test,private_to_original_norm_ratio_max,,436.0258299722033
test,neighbor_overlap,5,0.04507042253521127
test,neighbor_overlap,10,0.06971830985915492
test,neighbor_overlap,20,0.13943661971830984
