split,metric,k,value
train,cosine_mean,,0.2302992665714163
train,cosine_std,,0.056350895983867805
train,cosine_min,,0.10248787394316845
train,cosine_max,,0.3658688155928629
train,l2_distance_mean,,1.870599552629048
train,l2_distance_std,,0.06529406873534505
train,l2_distance_min,,1.6755129081311928
train,l2_distance_max,,2.0413903690865034
train,absolute_delta_mean,,0.07620773999037941
train,absolute_delta_std,,0.057583274438040385
train,absolute_delta_min,,4.7925859689712524e-06
train,absolute_delta_max,,0.41497558169066906
train,original_norm_mean,,0.43547167974391526
train,original_norm_std,,0.05032881173774303
train,original_norm_min,,0.3358296564388482
train,original_norm_max,,0.608395872683312
train,private_norm_mean,,1.9235437422580235
train,private_norm_std,,0.06865780600265471
train,private_norm_min,,1.704689640418309
train,private_norm_max,,2.136892596966127
train,relative_l2_distance_mean,,4.351128619959154
train,relative_l2_distance_std,,0.5122491941740723
train,relative_l2_distance_min,,3.0691589683422276
train,relative_l2_distance_max,,5.9962512396435645
train,private_to_original_norm_ratio_mean,,4.470187889903005
train,private_to_original_norm_ratio_std,,0.49293417797473604
train,private_to_original_norm_ratio_min,,3.2905220878935038
train,private_to_original_norm_ratio_max,,6.0731468379922
train,neighbor_overlap,5,0.08026315789473684
train,neighbor_overlap,10,0.10921052631578948
train,neighbor_overlap,20,0.1713815789473684
test,cosine_mean,,0.23098652183911042
test,cosine_std,,0.059089889040801445
test,cosine_min,,0.07331540967684175
test,cosine_max,,0.4480707275642724
test,l2_distance_mean,,1.865177181002445
test,l2_distance_std,,0.06465873439294378
test,l2_distance_min,,1.7010383867191547
test,l2_distance_max,,2.055580511541481
test,absolute_delta_mean,,0.07611542702355423
test,absolute_delta_std,,0.057244457241008316
test,absolute_delta_min,,2.7953647077083588e-06
test,absolute_delta_max,,0.434451911598444
test,original_norm_mean,,0.44208744484978685
test,original_norm_std,,0.07041193634569161
test,original_norm_min,,0.33330873483128737
test,original_norm_max,,0.8765038329515334
test,private_norm_mean,,1.918395459325397
test,private_norm_std,,0.07178827286857313
test,private_norm_min,,1.7516240054769245
test,private_norm_max,,2.1247527493721314
test,relative_l2_distance_mean,,4.3043268261268155
test,relative_l2_distance_std,,0.5784310528741958
test,relative_l2_distance_min,,2.079855361401215
test,relative_l2_distance_max,,5.902137657625845
test,private_to_original_norm_ratio_mean,,4.422119819456315
test,private_to_original_norm_ratio_std,,0.5672766714970037
test,private_to_original_norm_ratio_min,,2.3259859815758466
test,private_to_original_norm_ratio_max,,5.96849375255564
test,neighbor_overlap,5,0.0619718309859155
test,neighbor_overlap,10,0.10422535211267604
test,neighbor_overlap,20,0.1767605633802817
