task,train_fraction,seed,author_id,label
gender,0.1,13,e78b60f0-b114-4238-a0b2-dbd52ab12b99,F
gender,0.1,13,f28ad171-3a6b-4f88-a3c9-feebe7b86747,F
gender,0.1,13,c148f06c-d71a-4c3e-bee0-e35acba6916c,F
gender,0.1,13,1987bf4e-0f0e-4855-bc8f-bcab75ae8ee3,F
gender,0.1,13,e5b59ccc-2053-4e8b-ba11-dfeeff92dd5d,F
gender,0.1,13,ed970294-8f36-4008-a82e-183ac9abf6ac,M
gender,0.1,13,5def4eb3-e861-4864-a2f2-669680902007,M
gender,0.1,13,c657394c-bcbd-4b64-8d3a-820011bc8e23,F
gender,0.1,13,8398faf9-5d2b-4613-8547-b31cd47d249e,M
gender,0.1,13,1f17c4c3-0942-4fe5-8e03-5ad9f6a514d1,M
gender,0.1,13,c4a413a1-1170-4c2c-9f97-3f0bfb474154,F
gender,0.1,13,4b05f4e0-2b12-48f1-94c0-c55b4caf534c,F
gender,0.1,13,02ae95de-7ee3-453a-978d-25d28b3f1a88,M
gender,0.1,13,bb414002-cc26-4103-a00b-7f52a72efd59,M
gender,0.1,13,d4e76cdb-11e7-44ca-ad47-2fcf718f2fd8,M
gender,0.1,13,dde4cfc8-f4cf-47be-8d9c-21b3b7f63098,M
gender,0.1,21,19aa79e6-7ac8-497f-8db2-b86295e117ed,M
gender,0.1,21,a49c605b-81b9-463c-8e49-a9a6e06f3856,M
gender,0.1,21,e11d4b1e-42e6-44a6-b067-e0873e566fe3,M
gender,0.1,21,e942ba7f-1820-4116-a356-01e2e2530e3e,M
gender,0.1,21,7418df48-598b-49df-9ccb-be12715c21ea,F
gender,0.1,21,efb846b2-986a-43ae-8b9b-d811f93b52fd,M
gender,0.1,21,b9f601e6-a78d-4c78-9929-aca6df0f1538,M
gender,0.1,21,675ce760-4be6-46ef-8190-2009f80fe283,F
gender,0.1,21,b3ff1402-beab-4395-a107-56e5fb19c0e9,F
