task,classifier,train_fraction,seed,n_train,metric,value
gender,logistic_regression,0.1,13,16,accuracy,0.5352112676056338
gender,logistic_regression,0.1,13,16,balanced_accuracy,0.5352112676056338
gender,logistic_regression,0.1,13,16,precision_macro,0.5352112676056338
gender,logistic_regression,0.1,13,16,recall_macro,0.5352112676056338
gender,logistic_regression,0.1,13,16,f1_macro,0.5352112676056338
gender,logistic_regression,0.1,13,16,precision_micro,0.5352112676056338
gender,logistic_regression,0.1,13,16,recall_micro,0.5352112676056338
gender,logistic_regression,0.1,13,16,f1_micro,0.5352112676056338
gender,logistic_regression,0.1,13,16,precision_weighted,0.5352112676056338
gender,logistic_regression,0.1,13,16,recall_weighted,0.5352112676056338
gender,logistic_regression,0.1,13,16,f1_weighted,0.5352112676056338
gender,random_forest,0.1,13,16,accuracy,0.4154929577464789
gender,random_forest,0.1,13,16,balanced_accuracy,0.4154929577464789
gender,random_forest,0.1,13,16,precision_macro,0.41466346153846156
gender,random_forest,0.1,13,16,recall_macro,0.4154929577464789
gender,random_forest,0.1,13,16,f1_macro,0.4140691026597067
gender,random_forest,0.1,13,16,precision_micro,0.4154929577464789
gender,random_forest,0.1,13,16,recall_micro,0.4154929577464789
gender,random_forest,0.1,13,16,f1_micro,0.4154929577464789
gender,random_forest,0.1,13,16,precision_weighted,0.4146634615384615
gender,random_forest,0.1,13,16,recall_weighted,0.4154929577464789
gender,random_forest,0.1,13,16,f1_weighted,0.4140691026597067
gender,hist_gradient_boosting,0.1,13,16,accuracy,0.5
gender,hist_gradient_boosting,0.1,13,16,balanced_accuracy,0.5
gender,hist_gradient_boosting,0.1,13,16,precision_macro,0.25
gender,hist_gradient_boosting,0.1,13,16,recall_macro,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_macro,0.3333333333333333
gender,hist_gradient_boosting,0.1,13,16,precision_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,recall_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,precision_weighted,0.25
gender,hist_gradient_boosting,0.1,13,16,recall_weighted,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_weighted,0.3333333333333333
gender,mlp,0.1,13,16,accuracy,0.5140845070422535
gender,mlp,0.1,13,16,balanced_accuracy,0.5140845070422535
gender,mlp,0.1,13,16,precision_macro,0.5222431077694236
gender,mlp,0.1,13,16,recall_macro,0.5140845070422535
gender,mlp,0.1,13,16,f1_macro,0.465028665028665
gender,mlp,0.1,13,16,precision_micro,0.5140845070422535
gender,mlp,0.1,13,16,recall_micro,0.5140845070422535
gender,mlp,0.1,13,16,f1_micro,0.5140845070422535
gender,mlp,0.1,13,16,precision_weighted,0.5222431077694235
gender,mlp,0.1,13,16,recall_weighted,0.5140845070422535
gender,mlp,0.1,13,16,f1_weighted,0.46502866502866497
gender,logistic_regression,0.1,21,16,accuracy,0.4788732394366197
gender,logistic_regression,0.1,21,16,balanced_accuracy,0.47887323943661975
gender,logistic_regression,0.1,21,16,precision_macro,0.478856462179869
gender,logistic_regression,0.1,21,16,recall_macro,0.47887323943661975
gender,logistic_regression,0.1,21,16,f1_macro,0.47876984126984123
gender,logistic_regression,0.1,21,16,precision_micro,0.4788732394366197
gender,logistic_regression,0.1,21,16,recall_micro,0.4788732394366197
gender,logistic_regression,0.1,21,16,f1_micro,0.4788732394366197
gender,logistic_regression,0.1,21,16,precision_weighted,0.478856462179869
gender,logistic_regression,0.1,21,16,recall_weighted,0.4788732394366197
gender,logistic_regression,0.1,21,16,f1_weighted,0.4787698412698412
gender,random_forest,0.1,21,16,accuracy,0.5704225352112676
gender,random_forest,0.1,21,16,balanced_accuracy,0.5704225352112676
gender,random_forest,0.1,21,16,precision_macro,0.5747053872053871
gender,random_forest,0.1,21,16,recall_macro,0.5704225352112676
gender,random_forest,0.1,21,16,f1_macro,0.5641761006289308
gender,random_forest,0.1,21,16,precision_micro,0.5704225352112676
gender,random_forest,0.1,21,16,recall_micro,0.5704225352112676
gender,random_forest,0.1,21,16,f1_micro,0.5704225352112676
gender,random_forest,0.1,21,16,precision_weighted,0.5747053872053872
gender,random_forest,0.1,21,16,recall_weighted,0.5704225352112676
gender,random_forest,0.1,21,16,f1_weighted,0.5641761006289308
gender,hist_gradient_boosting,0.1,21,16,accuracy,0.5
gender,hist_gradient_boosting,0.1,21,16,balanced_accuracy,0.5
gender,hist_gradient_boosting,0.1,21,16,precision_macro,0.25
gender,hist_gradient_boosting,0.1,21,16,recall_macro,0.5
gender,hist_gradient_boosting,0.1,21,16,f1_macro,0.3333333333333333
gender,hist_gradient_boosting,0.1,21,16,precision_micro,0.5
gender,hist_gradient_boosting,0.1,21,16,recall_micro,0.5
gender,hist_gradient_boosting,0.1,21,16,f1_micro,0.5
gender,hist_gradient_boosting,0.1,21,16,precision_weighted,0.25
gender,hist_gradient_boosting,0.1,21,16,recall_weighted,0.5
gender,hist_gradient_boosting,0.1,21,16,f1_weighted,0.3333333333333333
gender,mlp,0.1,21,16,accuracy,0.49295774647887325
gender,mlp,0.1,21,16,balanced_accuracy,0.49295774647887325
gender,mlp,0.1,21,16,precision_macro,0.48602912239275875
gender,mlp,0.1,21,16,recall_macro,0.49295774647887325
gender,mlp,0.1,21,16,f1_macro,0.421195652173913
gender,mlp,0.1,21,16,precision_micro,0.49295774647887325
gender,mlp,0.1,21,16,recall_micro,0.49295774647887325
gender,mlp,0.1,21,16,f1_micro,0.49295774647887325
gender,mlp,0.1,21,16,precision_weighted,0.4860291223927588
gender,mlp,0.1,21,16,recall_weighted,0.49295774647887325
gender,mlp,0.1,21,16,f1_weighted,0.4211956521739131
gender,logistic_regression,0.1,34,16,accuracy,0.5140845070422535
gender,logistic_regression,0.1,34,16,balanced_accuracy,0.5140845070422535
gender,logistic_regression,0.1,34,16,precision_macro,0.5154347826086957
gender,logistic_regression,0.1,34,16,recall_macro,0.5140845070422535
gender,logistic_regression,0.1,34,16,f1_macro,0.5032195913400599
gender,logistic_regression,0.1,34,16,precision_micro,0.5140845070422535
gender,logistic_regression,0.1,34,16,recall_micro,0.5140845070422535
gender,logistic_regression,0.1,34,16,f1_micro,0.5140845070422535
gender,logistic_regression,0.1,34,16,precision_weighted,0.5154347826086958
gender,logistic_regression,0.1,34,16,recall_weighted,0.5140845070422535
gender,logistic_regression,0.1,34,16,f1_weighted,0.5032195913400599
gender,random_forest,0.1,34,16,accuracy,0.4859154929577465
gender,random_forest,0.1,34,16,balanced_accuracy,0.4859154929577465
gender,random_forest,0.1,34,16,precision_macro,0.4858452950558214
gender,random_forest,0.1,34,16,recall_macro,0.4859154929577465
gender,random_forest,0.1,34,16,f1_macro,0.48527732260787526
gender,random_forest,0.1,34,16,precision_micro,0.4859154929577465
gender,random_forest,0.1,34,16,recall_micro,0.4859154929577465
gender,random_forest,0.1,34,16,f1_micro,0.4859154929577465
