task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
gender,logistic_regression,0.1,13,16,F,0.5352112676056338,0.5352112676056338,0.5352112676056338,71.0
gender,logistic_regression,0.1,13,16,M,0.5352112676056338,0.5352112676056338,0.5352112676056338,71.0
gender,random_forest,0.1,13,16,F,0.4342105263157895,0.4647887323943662,0.4489795918367347,71.0
gender,random_forest,0.1,13,16,M,0.42424242424242425,0.39436619718309857,0.40875912408759124,71.0
gender,hist_gradient_boosting,0.1,13,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,13,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,13,16,F,0.5087719298245614,0.8169014084507042,0.6270270270270271,71.0
gender,mlp,0.1,13,16,M,0.5357142857142857,0.2112676056338028,0.30303030303030304,71.0
gender,logistic_regression,0.1,21,16,F,0.4782608695652174,0.4647887323943662,0.4714285714285714,71.0
gender,logistic_regression,0.1,21,16,M,0.4794520547945205,0.49295774647887325,0.4861111111111111,71.0
gender,random_forest,0.1,21,16,F,0.5925925925925926,0.4507042253521127,0.512,71.0
gender,random_forest,0.1,21,16,M,0.5568181818181818,0.6901408450704225,0.6163522012578616,71.0
gender,hist_gradient_boosting,0.1,21,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,21,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,21,16,F,0.5,0.8591549295774648,0.6321243523316062,71.0
gender,mlp,0.1,21,16,M,0.5,0.14084507042253522,0.21978021978021978,71.0
gender,logistic_regression,0.1,34,16,F,0.5108695652173914,0.6619718309859155,0.5766871165644172,71.0
gender,logistic_regression,0.1,34,16,M,0.52,0.36619718309859156,0.4297520661157025,71.0
gender,random_forest,0.1,34,16,F,0.4935064935064935,0.5352112676056338,0.5135135135135135,71.0
gender,random_forest,0.1,34,16,M,0.49230769230769234,0.4507042253521127,0.47058823529411764,71.0
gender,hist_gradient_boosting,0.1,34,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,34,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,34,16,F,0.5333333333333333,0.3380281690140845,0.41379310344827586,71.0
gender,mlp,0.1,34,16,M,0.5154639175257731,0.704225352112676,0.5952380952380952,71.0
gender,logistic_regression,0.1,55,16,F,0.4393939393939394,0.4084507042253521,0.4233576642335766,71.0
gender,logistic_regression,0.1,55,16,M,0.4473684210526316,0.4788732394366197,0.46258503401360546,71.0
gender,random_forest,0.1,55,16,F,0.4457831325301205,0.5211267605633803,0.4805194805194805,71.0
gender,random_forest,0.1,55,16,M,0.423728813559322,0.352112676056338,0.38461538461538464,71.0
gender,hist_gradient_boosting,0.1,55,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,55,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,55,16,F,0.4765625,0.8591549295774648,0.6130653266331658,71.0
gender,mlp,0.1,55,16,M,0.2857142857142857,0.056338028169014086,0.09411764705882353,71.0
gender,logistic_regression,0.1,89,16,F,0.5454545454545454,0.5070422535211268,0.5255474452554745,71.0
gender,logistic_regression,0.1,89,16,M,0.5394736842105263,0.5774647887323944,0.5578231292517006,71.0
gender,random_forest,0.1,89,16,F,0.5333333333333333,0.3380281690140845,0.41379310344827586,71.0
gender,random_forest,0.1,89,16,M,0.5154639175257731,0.704225352112676,0.5952380952380952,71.0
gender,hist_gradient_boosting,0.1,89,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,89,16,M,0.0,0.0,0.0,71.0
gender,mlp,0.1,89,16,F,0.47058823529411764,0.676056338028169,0.5549132947976878,71.0
gender,mlp,0.1,89,16,M,0.425,0.23943661971830985,0.3063063063063063,71.0
gender,logistic_regression,0.25,13,38,F,0.5416666666666666,0.5492957746478874,0.5454545454545454,71.0
gender,logistic_regression,0.25,13,38,M,0.5428571428571428,0.5352112676056338,0.5390070921985816,71.0
gender,random_forest,0.25,13,38,F,0.582089552238806,0.5492957746478874,0.5652173913043478,71.0
gender,random_forest,0.25,13,38,M,0.5733333333333334,0.6056338028169014,0.589041095890411,71.0
gender,hist_gradient_boosting,0.25,13,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,13,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,13,38,F,0.5185185185185185,0.7887323943661971,0.6256983240223464,71.0
gender,mlp,0.25,13,38,M,0.5588235294117647,0.2676056338028169,0.3619047619047619,71.0
gender,logistic_regression,0.25,21,38,F,0.5098039215686274,0.36619718309859156,0.4262295081967213,71.0
gender,logistic_regression,0.25,21,38,M,0.5054945054945055,0.647887323943662,0.5679012345679012,71.0
gender,random_forest,0.25,21,38,F,0.5692307692307692,0.5211267605633803,0.5441176470588235,71.0
gender,random_forest,0.25,21,38,M,0.5584415584415584,0.6056338028169014,0.581081081081081,71.0
gender,hist_gradient_boosting,0.25,21,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,21,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,21,38,F,0.5038759689922481,0.9154929577464789,0.65,71.0
gender,mlp,0.25,21,38,M,0.5384615384615384,0.09859154929577464,0.16666666666666666,71.0
gender,logistic_regression,0.25,34,38,F,0.56,0.39436619718309857,0.4628099173553719,71.0
gender,logistic_regression,0.25,34,38,M,0.532608695652174,0.6901408450704225,0.6012269938650306,71.0
gender,random_forest,0.25,34,38,F,0.5,0.36619718309859156,0.42276422764227645,71.0
gender,random_forest,0.25,34,38,M,0.5,0.6338028169014085,0.5590062111801242,71.0
gender,hist_gradient_boosting,0.25,34,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,34,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,34,38,F,0.46153846153846156,0.16901408450704225,0.24742268041237114,71.0
gender,mlp,0.25,34,38,M,0.49137931034482757,0.8028169014084507,0.6096256684491979,71.0
gender,logistic_regression,0.25,55,38,F,0.5529411764705883,0.6619718309859155,0.6025641025641025,71.0
gender,logistic_regression,0.25,55,38,M,0.5789473684210527,0.4647887323943662,0.515625,71.0
gender,random_forest,0.25,55,38,F,0.47692307692307695,0.43661971830985913,0.45588235294117646,71.0
gender,random_forest,0.25,55,38,M,0.4805194805194805,0.5211267605633803,0.5,71.0
gender,hist_gradient_boosting,0.25,55,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,55,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,55,38,F,0.48739495798319327,0.8169014084507042,0.6105263157894737,71.0
gender,mlp,0.25,55,38,M,0.43478260869565216,0.14084507042253522,0.2127659574468085,71.0
gender,logistic_regression,0.25,89,38,F,0.5068493150684932,0.5211267605633803,0.5138888888888888,71.0
gender,logistic_regression,0.25,89,38,M,0.5072463768115942,0.49295774647887325,0.5,71.0
gender,random_forest,0.25,89,38,F,0.5125,0.5774647887323944,0.543046357615894,71.0
gender,random_forest,0.25,89,38,M,0.5161290322580645,0.4507042253521127,0.48120300751879697,71.0
gender,hist_gradient_boosting,0.25,89,38,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.25,89,38,M,0.0,0.0,0.0,71.0
gender,mlp,0.25,89,38,F,0.45454545454545453,0.49295774647887325,0.47297297297297297,71.0
gender,mlp,0.25,89,38,M,0.4461538461538462,0.4084507042253521,0.4264705882352941,71.0
gender,logistic_regression,0.5,13,76,F,0.5230769230769231,0.4788732394366197,0.5,71.0
gender,logistic_regression,0.5,13,76,M,0.5194805194805194,0.5633802816901409,0.5405405405405406,71.0
gender,random_forest,0.5,13,76,F,0.4528301886792453,0.3380281690140845,0.3870967741935484,71.0
gender,random_forest,0.5,13,76,M,0.47191011235955055,0.5915492957746479,0.525,71.0
gender,hist_gradient_boosting,0.5,13,76,F,0.5873015873015873,0.5211267605633803,0.5522388059701493,71.0
gender,hist_gradient_boosting,0.5,13,76,M,0.569620253164557,0.6338028169014085,0.6,71.0
gender,mlp,0.5,13,76,F,0.4883720930232558,0.5915492957746479,0.535031847133758,71.0
gender,mlp,0.5,13,76,M,0.48214285714285715,0.38028169014084506,0.4251968503937008,71.0
gender,logistic_regression,0.5,21,76,F,0.5,0.36619718309859156,0.42276422764227645,71.0
gender,logistic_regression,0.5,21,76,M,0.5,0.6338028169014085,0.5590062111801242,71.0
gender,random_forest,0.5,21,76,F,0.5373134328358209,0.5070422535211268,0.5217391304347826,71.0
gender,random_forest,0.5,21,76,M,0.5333333333333333,0.5633802816901409,0.547945205479452,71.0
gender,hist_gradient_boosting,0.5,21,76,F,0.46153846153846156,0.4225352112676056,0.4411764705882353,71.0
gender,hist_gradient_boosting,0.5,21,76,M,0.4675324675324675,0.5070422535211268,0.4864864864864865,71.0
gender,mlp,0.5,21,76,F,0.504,0.8873239436619719,0.6428571428571429,71.0
gender,mlp,0.5,21,76,M,0.5294117647058824,0.1267605633802817,0.20454545454545456,71.0
gender,logistic_regression,0.5,34,76,F,0.5161290322580645,0.4507042253521127,0.48120300751879697,71.0
gender,logistic_regression,0.5,34,76,M,0.5125,0.5774647887323944,0.543046357615894,71.0
gender,random_forest,0.5,34,76,F,0.4528301886792453,0.3380281690140845,0.3870967741935484,71.0
gender,random_forest,0.5,34,76,M,0.47191011235955055,0.5915492957746479,0.525,71.0
gender,hist_gradient_boosting,0.5,34,76,F,0.5211267605633803,0.5211267605633803,0.5211267605633803,71.0
gender,hist_gradient_boosting,0.5,34,76,M,0.5211267605633803,0.5211267605633803,0.5211267605633803,71.0
gender,mlp,0.5,34,76,F,0.5151515151515151,0.23943661971830985,0.3269230769230769,71.0
gender,mlp,0.5,34,76,M,0.5045871559633027,0.7746478873239436,0.6111111111111112,71.0
gender,logistic_regression,0.5,55,76,F,0.547945205479452,0.5633802816901409,0.5555555555555556,71.0
gender,logistic_regression,0.5,55,76,M,0.5507246376811594,0.5352112676056338,0.5428571428571428,71.0
