task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,logistic_regression,0.1,13,16,F,F,44
gender,logistic_regression,0.1,13,16,F,M,27
gender,logistic_regression,0.1,13,16,M,F,27
gender,logistic_regression,0.1,13,16,M,M,44
gender,random_forest,0.1,13,16,F,F,46
gender,random_forest,0.1,13,16,F,M,25
gender,random_forest,0.1,13,16,M,F,45
gender,random_forest,0.1,13,16,M,M,26
gender,hist_gradient_boosting,0.1,13,16,F,F,71
gender,hist_gradient_boosting,0.1,13,16,F,M,0
gender,hist_gradient_boosting,0.1,13,16,M,F,71
gender,hist_gradient_boosting,0.1,13,16,M,M,0
gender,mlp,0.1,13,16,F,F,51
gender,mlp,0.1,13,16,F,M,20
gender,mlp,0.1,13,16,M,F,57
gender,mlp,0.1,13,16,M,M,14
gender,logistic_regression,0.1,21,16,F,F,44
gender,logistic_regression,0.1,21,16,F,M,27
gender,logistic_regression,0.1,21,16,M,F,37
gender,logistic_regression,0.1,21,16,M,M,34
gender,random_forest,0.1,21,16,F,F,41
gender,random_forest,0.1,21,16,F,M,30
gender,random_forest,0.1,21,16,M,F,31
gender,random_forest,0.1,21,16,M,M,40
gender,hist_gradient_boosting,0.1,21,16,F,F,71
gender,hist_gradient_boosting,0.1,21,16,F,M,0
gender,hist_gradient_boosting,0.1,21,16,M,F,71
gender,hist_gradient_boosting,0.1,21,16,M,M,0
gender,mlp,0.1,21,16,F,F,60
gender,mlp,0.1,21,16,F,M,11
gender,mlp,0.1,21,16,M,F,61
gender,mlp,0.1,21,16,M,M,10
gender,logistic_regression,0.1,34,16,F,F,49
gender,logistic_regression,0.1,34,16,F,M,22
gender,logistic_regression,0.1,34,16,M,F,39
gender,logistic_regression,0.1,34,16,M,M,32
gender,random_forest,0.1,34,16,F,F,33
gender,random_forest,0.1,34,16,F,M,38
gender,random_forest,0.1,34,16,M,F,27
gender,random_forest,0.1,34,16,M,M,44
gender,hist_gradient_boosting,0.1,34,16,F,F,71
gender,hist_gradient_boosting,0.1,34,16,F,M,0
gender,hist_gradient_boosting,0.1,34,16,M,F,71
gender,hist_gradient_boosting,0.1,34,16,M,M,0
gender,mlp,0.1,34,16,F,F,28
gender,mlp,0.1,34,16,F,M,43
gender,mlp,0.1,34,16,M,F,17
gender,mlp,0.1,34,16,M,M,54
gender,logistic_regression,0.1,55,16,F,F,34
gender,logistic_regression,0.1,55,16,F,M,37
gender,logistic_regression,0.1,55,16,M,F,33
gender,logistic_regression,0.1,55,16,M,M,38
gender,random_forest,0.1,55,16,F,F,41
gender,random_forest,0.1,55,16,F,M,30
gender,random_forest,0.1,55,16,M,F,35
gender,random_forest,0.1,55,16,M,M,36
gender,hist_gradient_boosting,0.1,55,16,F,F,71
gender,hist_gradient_boosting,0.1,55,16,F,M,0
gender,hist_gradient_boosting,0.1,55,16,M,F,71
gender,hist_gradient_boosting,0.1,55,16,M,M,0
gender,mlp,0.1,55,16,F,F,63
gender,mlp,0.1,55,16,F,M,8
gender,mlp,0.1,55,16,M,F,67
gender,mlp,0.1,55,16,M,M,4
gender,logistic_regression,0.1,89,16,F,F,40
