task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
gender,logistic_regression,0.1,13,16,F,0.6049382716049383,0.6901408450704225,0.6447368421052632,71.0
gender,logistic_regression,0.1,13,16,M,0.639344262295082,0.5492957746478874,0.5909090909090909,71.0
gender,random_forest,0.1,13,16,F,0.6428571428571429,0.7605633802816901,0.6967741935483871,71.0
gender,random_forest,0.1,13,16,M,0.7068965517241379,0.5774647887323944,0.6356589147286822,71.0
gender,hist_gradient_boosting,0.1,13,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,13,16,M,0.0,0.0,0.0,71.0
gender,xgboost,0.1,13,16,F,0.711864406779661,0.5915492957746479,0.6461538461538462,71.0
gender,xgboost,0.1,13,16,M,0.6506024096385542,0.7605633802816901,0.7012987012987013,71.0
gender,mlp,0.1,13,16,F,0.47674418604651164,0.5774647887323944,0.5222929936305732,71.0
gender,mlp,0.1,13,16,M,0.4642857142857143,0.36619718309859156,0.4094488188976378,71.0
gender,logistic_regression,0.1,21,16,F,0.6666666666666666,0.6197183098591549,0.6423357664233577,71.0
gender,logistic_regression,0.1,21,16,M,0.6447368421052632,0.6901408450704225,0.6666666666666666,71.0
gender,random_forest,0.1,21,16,F,0.6447368421052632,0.6901408450704225,0.6666666666666666,71.0
gender,random_forest,0.1,21,16,M,0.6666666666666666,0.6197183098591549,0.6423357664233577,71.0
gender,hist_gradient_boosting,0.1,21,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,21,16,M,0.0,0.0,0.0,71.0
gender,xgboost,0.1,21,16,F,0.7123287671232876,0.7323943661971831,0.7222222222222222,71.0
gender,xgboost,0.1,21,16,M,0.7246376811594203,0.704225352112676,0.7142857142857143,71.0
gender,mlp,0.1,21,16,F,0.5254237288135594,0.8732394366197183,0.656084656084656,71.0
gender,mlp,0.1,21,16,M,0.625,0.2112676056338028,0.3157894736842105,71.0
