task,classifier,train_fraction,seed,n_train,metric,value
gender,logistic_regression,0.1,13,16,accuracy,0.6197183098591549
gender,logistic_regression,0.1,13,16,balanced_accuracy,0.619718309859155
gender,logistic_regression,0.1,13,16,precision_macro,0.6221412669500102
gender,logistic_regression,0.1,13,16,recall_macro,0.619718309859155
gender,logistic_regression,0.1,13,16,f1_macro,0.617822966507177
gender,logistic_regression,0.1,13,16,precision_micro,0.6197183098591549
gender,logistic_regression,0.1,13,16,recall_micro,0.6197183098591549
gender,logistic_regression,0.1,13,16,f1_micro,0.6197183098591549
gender,logistic_regression,0.1,13,16,precision_weighted,0.6221412669500102
gender,logistic_regression,0.1,13,16,recall_weighted,0.6197183098591549
gender,logistic_regression,0.1,13,16,f1_weighted,0.617822966507177
gender,random_forest,0.1,13,16,accuracy,0.6690140845070423
gender,random_forest,0.1,13,16,balanced_accuracy,0.6690140845070423
gender,random_forest,0.1,13,16,precision_macro,0.6748768472906403
gender,random_forest,0.1,13,16,recall_macro,0.6690140845070423
gender,random_forest,0.1,13,16,f1_macro,0.6662165541385346
gender,random_forest,0.1,13,16,precision_micro,0.6690140845070423
gender,random_forest,0.1,13,16,recall_micro,0.6690140845070423
gender,random_forest,0.1,13,16,f1_micro,0.6690140845070423
gender,random_forest,0.1,13,16,precision_weighted,0.6748768472906405
gender,random_forest,0.1,13,16,recall_weighted,0.6690140845070423
gender,random_forest,0.1,13,16,f1_weighted,0.6662165541385346
gender,hist_gradient_boosting,0.1,13,16,accuracy,0.5
gender,hist_gradient_boosting,0.1,13,16,balanced_accuracy,0.5
gender,hist_gradient_boosting,0.1,13,16,precision_macro,0.25
gender,hist_gradient_boosting,0.1,13,16,recall_macro,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_macro,0.3333333333333333
gender,hist_gradient_boosting,0.1,13,16,precision_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,recall_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,precision_weighted,0.25
gender,hist_gradient_boosting,0.1,13,16,recall_weighted,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_weighted,0.3333333333333333
gender,mlp,0.1,13,16,accuracy,0.47183098591549294
gender,mlp,0.1,13,16,balanced_accuracy,0.471830985915493
gender,mlp,0.1,13,16,precision_macro,0.470514950166113
gender,mlp,0.1,13,16,recall_macro,0.471830985915493
gender,mlp,0.1,13,16,f1_macro,0.46587090626410554
gender,mlp,0.1,13,16,precision_micro,0.47183098591549294
gender,mlp,0.1,13,16,recall_micro,0.47183098591549294
gender,mlp,0.1,13,16,f1_micro,0.47183098591549294
