epsilon,delta,sensitivity,dp_seed,split,metric,k,value
0.1,1e-05,1.0,13,train,cosine_mean,,0.005308950722810654
0.1,1e-05,1.0,13,train,cosine_std,,0.04982244293253018
0.1,1e-05,1.0,13,train,cosine_min,,-0.1035530054059308
0.1,1e-05,1.0,13,train,cosine_max,,0.11822439699828545
0.1,1e-05,1.0,13,train,l2_distance_mean,,604.326053186687
0.1,1e-05,1.0,13,train,l2_distance_std,,21.094256588583672
0.1,1e-05,1.0,13,train,l2_distance_min,,541.3003033063721
0.1,1e-05,1.0,13,train,l2_distance_max,,659.5026618126473
0.1,1e-05,1.0,13,train,absolute_delta_mean,,24.620086468634593
0.1,1e-05,1.0,13,train,absolute_delta_std,,18.603165449139514
0.1,1e-05,1.0,13,train,absolute_delta_min,,0.0015483710449188948
0.1,1e-05,1.0,13,train,absolute_delta_max,,134.06426021270454
0.1,1e-05,1.0,13,train,original_norm_mean,,0.43547167974391526
0.1,1e-05,1.0,13,train,original_norm_std,,0.05032881173774303
0.1,1e-05,1.0,13,train,original_norm_min,,0.3358296564388482
0.1,1e-05,1.0,13,train,original_norm_max,,0.608395872683312
0.1,1e-05,1.0,13,train,private_norm_mean,,604.3286894601076
0.1,1e-05,1.0,13,train,private_norm_std,,21.093428251086117
0.1,1e-05,1.0,13,train,private_norm_min,,541.2780705470177
0.1,1e-05,1.0,13,train,private_norm_max,,659.5252091517901
0.1,1e-05,1.0,13,train,relative_l2_distance_mean,,1405.699248767711
0.1,1e-05,1.0,13,train,relative_l2_distance_std,,165.49000783236414
0.1,1e-05,1.0,13,train,relative_l2_distance_min,,991.53916906747
0.1,1e-05,1.0,13,train,relative_l2_distance_max,,1937.1815094186327
0.1,1e-05,1.0,13,train,private_to_original_norm_ratio_mean,,1405.7041979501507
0.1,1e-05,1.0,13,train,private_to_original_norm_ratio_std,,165.481096483584
0.1,1e-05,1.0,13,train,private_to_original_norm_ratio_min,,991.6061060218734
0.1,1e-05,1.0,13,train,private_to_original_norm_ratio_max,,1937.175770736315
0.1,1e-05,1.0,13,train,neighbor_overlap,5,0.048684210526315795
0.1,1e-05,1.0,13,train,neighbor_overlap,10,0.07828947368421053
0.1,1e-05,1.0,13,train,neighbor_overlap,20,0.13815789473684212
0.1,1e-05,1.0,13,test,cosine_mean,,0.0019743556490608564
0.1,1e-05,1.0,13,test,cosine_std,,0.05410959100151833
0.1,1e-05,1.0,13,test,cosine_min,,-0.14484222260271581
0.1,1e-05,1.0,13,test,cosine_max,,0.12261199357626117
0.1,1e-05,1.0,13,test,l2_distance_mean,,602.5742723194144
0.1,1e-05,1.0,13,test,l2_distance_std,,20.889001881413655
0.1,1e-05,1.0,13,test,l2_distance_min,,549.5467017293308
0.1,1e-05,1.0,13,test,l2_distance_max,,664.0870099432675
0.1,1e-05,1.0,13,test,absolute_delta_mean,,24.590263337975284
0.1,1e-05,1.0,13,test,absolute_delta_std,,18.493705324449007
0.1,1e-05,1.0,13,test,absolute_delta_min,,0.0009030915098264813
0.1,1e-05,1.0,13,test,absolute_delta_max,,140.35638711228967
0.1,1e-05,1.0,13,test,original_norm_mean,,0.44208744484978685
0.1,1e-05,1.0,13,test,original_norm_std,,0.07041193634569161
0.1,1e-05,1.0,13,test,original_norm_min,,0.33330873483128737
0.1,1e-05,1.0,13,test,original_norm_max,,0.8765038329515334
0.1,1e-05,1.0,13,test,private_norm_mean,,602.5748868296906
0.1,1e-05,1.0,13,test,private_norm_std,,20.890987898577663
0.1,1e-05,1.0,13,test,private_norm_min,,549.5389313736885
0.1,1e-05,1.0,13,test,private_norm_max,,664.1180332470576
0.1,1e-05,1.0,13,test,relative_l2_distance_mean,,1390.5792069277234
0.1,1e-05,1.0,13,test,relative_l2_distance_std,,186.87107834647566
0.1,1e-05,1.0,13,test,relative_l2_distance_min,,671.9293710367346
0.1,1e-05,1.0,13,test,relative_l2_distance_max,,1906.7766566978514
0.1,1e-05,1.0,13,test,private_to_original_norm_ratio_mean,,1390.5808151104814
0.1,1e-05,1.0,13,test,private_to_original_norm_ratio_std,,186.8748693048918
0.1,1e-05,1.0,13,test,private_to_original_norm_ratio_min,,671.9504077018252
0.1,1e-05,1.0,13,test,private_to_original_norm_ratio_max,,1906.7589328751528
0.1,1e-05,1.0,13,test,neighbor_overlap,5,0.04507042253521127
0.1,1e-05,1.0,13,test,neighbor_overlap,10,0.06971830985915492
0.1,1e-05,1.0,13,test,neighbor_overlap,20,0.13873239436619716
0.5,1e-05,1.0,13,train,cosine_mean,,0.007735794809246216
