privacy_mode,epsilon,delta,sensitivity,dp_seed,task,classifier,train_fraction,metric,mean,std,n,baseline_mean,privacy_gain_vs_baseline,relative_attack_reduction,chance_level,attack_advantage_over_chance
none,,,,,age,hist_gradient_boosting,0.1,accuracy,0.6968276650471564,0.004596785850922208,5,0.6968276650471564,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.1,balanced_accuracy,0.57380050156293,0.006861793304132198,5,0.57380050156293,0.0,0.0,0.25,0.32380050156293005
none,,,,,age,hist_gradient_boosting,0.1,f1_macro,0.5681699956324737,0.011280411713207596,5,0.5681699956324737,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.25,accuracy,0.7194055444412689,0.002189652050228992,5,0.7194055444412689,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.25,balanced_accuracy,0.6007975075327285,0.006466897974761688,5,0.6007975075327285,0.0,0.0,0.25,0.35079750753272854
none,,,,,age,hist_gradient_boosting,0.25,f1_macro,0.6014893979530269,0.009202135824693624,5,0.6014893979530269,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.5,accuracy,0.7266076021720491,0.00300833320764579,5,0.7266076021720491,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.5,balanced_accuracy,0.6154559665284962,0.008184386283339864,5,0.6154559665284962,0.0,0.0,0.25,0.3654559665284962
none,,,,,age,hist_gradient_boosting,0.5,f1_macro,0.6200135229474422,0.011026633522581718,5,0.6200135229474422,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.75,accuracy,0.7367819376964848,0.0017733171829080756,5,0.7367819376964848,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.75,balanced_accuracy,0.62875998747798,0.001745121762386255,5,0.62875998747798,0.0,0.0,0.25,0.37875998747798
none,,,,,age,hist_gradient_boosting,0.75,f1_macro,0.6357803929215987,0.0022176528476361697,5,0.6357803929215987,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,1.0,accuracy,0.7416404687053444,0.0016040257445444058,5,0.7416404687053444,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,1.0,balanced_accuracy,0.6363895499084332,0.0032056518940206187,5,0.6363895499084332,0.0,0.0,0.25,0.3863895499084332
none,,,,,age,hist_gradient_boosting,1.0,f1_macro,0.6442796101291373,0.004019515689383944,5,0.6442796101291373,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.1,accuracy,0.6647613603886825,0.007860687361803417,5,0.6647613603886825,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.1,balanced_accuracy,0.6193939200814296,0.005557918586406553,5,0.6193939200814296,0.0,0.0,0.25,0.36939392008142957
none,,,,,age,logistic_regression,0.1,f1_macro,0.6131904345411123,0.006080342413999508,5,0.6131904345411123,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.25,accuracy,0.6955701629036868,0.004623362209486841,5,0.6955701629036868,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.25,balanced_accuracy,0.6723863348780637,0.006125193938598562,5,0.6723863348780637,0.0,0.0,0.25,0.42238633487806365
none,,,,,age,logistic_regression,0.25,f1_macro,0.6540001672650069,0.0052682371598708685,5,0.6540001672650069,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.5,accuracy,0.7224921406116034,0.003775320038188857,5,0.7224921406116034,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.5,balanced_accuracy,0.7119310468531332,0.0051885457299310845,5,0.7119310468531332,0.0,0.0,0.25,0.46193104685313324
none,,,,,age,logistic_regression,0.5,f1_macro,0.6860043402672156,0.004054194067376908,5,0.6860043402672156,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.75,accuracy,0.7303229494141183,0.00356157246748775,5,0.7303229494141183,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.75,balanced_accuracy,0.7255490544781281,0.003910257111254656,5,0.7255490544781281,0.0,0.0,0.25,0.4755490544781281
none,,,,,age,logistic_regression,0.75,f1_macro,0.6964632717754901,0.003658186453768814,5,0.6964632717754901,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,1.0,accuracy,0.7346098885395828,0.00025562366133179755,5,0.7346098885395828,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,1.0,balanced_accuracy,0.7304451260613798,0.00020531385056404304,5,0.7304451260613798,0.0,0.0,0.25,0.4804451260613798
none,,,,,age,logistic_regression,1.0,f1_macro,0.7015992175489026,0.00028895809176445174,5,0.7015992175489026,0.0,0.0,nan,nan
none,,,,,age,mlp,0.1,accuracy,0.6985995998856817,0.01043370490686904,5,0.6985995998856817,0.0,0.0,nan,nan
none,,,,,age,mlp,0.1,balanced_accuracy,0.6165237216330619,0.012740465674453996,5,0.6165237216330619,0.0,0.0,0.25,0.3665237216330619
none,,,,,age,mlp,0.1,f1_macro,0.6214288895910347,0.013148929761644515,5,0.6214288895910347,0.0,0.0,nan,nan
none,,,,,age,mlp,0.25,accuracy,0.7255787367819376,0.0037882788407269277,5,0.7255787367819376,0.0,0.0,nan,nan
none,,,,,age,mlp,0.25,balanced_accuracy,0.6481159051716581,0.0043616781210237,5,0.6481159051716581,0.0,0.0,0.25,0.39811590517165807
none,,,,,age,mlp,0.25,f1_macro,0.654858937179049,0.003903188232100701,5,0.654858937179049,0.0,0.0,nan,nan
none,,,,,age,mlp,0.5,accuracy,0.7378679622749357,0.003645438987463465,5,0.7378679622749357,0.0,0.0,nan,nan
none,,,,,age,mlp,0.5,balanced_accuracy,0.650397898794753,0.009384145767239203,5,0.650397898794753,0.0,0.0,0.25,0.40039789879475296
none,,,,,age,mlp,0.5,f1_macro,0.6584995055000458,0.009545675854691144,5,0.6584995055000458,0.0,0.0,nan,nan
none,,,,,age,mlp,0.75,accuracy,0.7417547870820235,0.004911201816448101,5,0.7417547870820235,0.0,0.0,nan,nan
none,,,,,age,mlp,0.75,balanced_accuracy,0.6623540635578948,0.005884113593507626,5,0.6623540635578948,0.0,0.0,0.25,0.41235406355789483
