task,classifier,train_fraction,seed,n_train,true_label,predicted_label,count
gender,logistic_regression,0.1,13,1400,female,female,1220
gender,logistic_regression,0.1,13,1400,female,male,517
gender,logistic_regression,0.1,13,1400,male,female,479
gender,logistic_regression,0.1,13,1400,male,male,1283
gender,random_forest,0.1,13,1400,female,female,1229
gender,random_forest,0.1,13,1400,female,male,508
gender,random_forest,0.1,13,1400,male,female,490
gender,random_forest,0.1,13,1400,male,male,1272
gender,hist_gradient_boosting,0.1,13,1400,female,female,1233
gender,hist_gradient_boosting,0.1,13,1400,female,male,504
gender,hist_gradient_boosting,0.1,13,1400,male,female,493
gender,hist_gradient_boosting,0.1,13,1400,male,male,1269
gender,xgboost,0.1,13,1400,female,female,1264
gender,xgboost,0.1,13,1400,female,male,473
gender,xgboost,0.1,13,1400,male,female,449
gender,xgboost,0.1,13,1400,male,male,1313
gender,mlp,0.1,13,1400,female,female,1261
gender,mlp,0.1,13,1400,female,male,476
gender,mlp,0.1,13,1400,male,female,418
gender,mlp,0.1,13,1400,male,male,1344
gender,logistic_regression,0.1,21,1400,female,female,1273
gender,logistic_regression,0.1,21,1400,female,male,464
gender,logistic_regression,0.1,21,1400,male,female,499
gender,logistic_regression,0.1,21,1400,male,male,1263
gender,random_forest,0.1,21,1400,female,female,1284
gender,random_forest,0.1,21,1400,female,male,453
gender,random_forest,0.1,21,1400,male,female,541
gender,random_forest,0.1,21,1400,male,male,1221
gender,hist_gradient_boosting,0.1,21,1400,female,female,1323
gender,hist_gradient_boosting,0.1,21,1400,female,male,414
gender,hist_gradient_boosting,0.1,21,1400,male,female,564
gender,hist_gradient_boosting,0.1,21,1400,male,male,1198
gender,xgboost,0.1,21,1400,female,female,1317
gender,xgboost,0.1,21,1400,female,male,420
gender,xgboost,0.1,21,1400,male,female,512
gender,xgboost,0.1,21,1400,male,male,1250
gender,mlp,0.1,21,1400,female,female,1358
gender,mlp,0.1,21,1400,female,male,379
gender,mlp,0.1,21,1400,male,female,492
gender,mlp,0.1,21,1400,male,male,1270
gender,logistic_regression,0.1,34,1400,female,female,1250
gender,logistic_regression,0.1,34,1400,female,male,487
gender,logistic_regression,0.1,34,1400,male,female,443
gender,logistic_regression,0.1,34,1400,male,male,1319
gender,random_forest,0.1,34,1400,female,female,1249
gender,random_forest,0.1,34,1400,female,male,488
gender,random_forest,0.1,34,1400,male,female,448
gender,random_forest,0.1,34,1400,male,male,1314
gender,hist_gradient_boosting,0.1,34,1400,female,female,1232
gender,hist_gradient_boosting,0.1,34,1400,female,male,505
gender,hist_gradient_boosting,0.1,34,1400,male,female,477
gender,hist_gradient_boosting,0.1,34,1400,male,male,1285
gender,xgboost,0.1,34,1400,female,female,1283
gender,xgboost,0.1,34,1400,female,male,454
gender,xgboost,0.1,34,1400,male,female,417
gender,xgboost,0.1,34,1400,male,male,1345
gender,mlp,0.1,34,1400,female,female,1257
gender,mlp,0.1,34,1400,female,male,480
gender,mlp,0.1,34,1400,male,female,402
gender,mlp,0.1,34,1400,male,male,1360
gender,logistic_regression,0.1,55,1400,female,female,1207
gender,logistic_regression,0.1,55,1400,female,male,530
gender,logistic_regression,0.1,55,1400,male,female,495
gender,logistic_regression,0.1,55,1400,male,male,1267
gender,random_forest,0.1,55,1400,female,female,1267
gender,random_forest,0.1,55,1400,female,male,470
gender,random_forest,0.1,55,1400,male,female,479
gender,random_forest,0.1,55,1400,male,male,1283
gender,hist_gradient_boosting,0.1,55,1400,female,female,1252
gender,hist_gradient_boosting,0.1,55,1400,female,male,485
gender,hist_gradient_boosting,0.1,55,1400,male,female,488
gender,hist_gradient_boosting,0.1,55,1400,male,male,1274
gender,xgboost,0.1,55,1400,female,female,1281
gender,xgboost,0.1,55,1400,female,male,456
gender,xgboost,0.1,55,1400,male,female,450
gender,xgboost,0.1,55,1400,male,male,1312
gender,mlp,0.1,55,1400,female,female,1252
gender,mlp,0.1,55,1400,female,male,485
gender,mlp,0.1,55,1400,male,female,436
gender,mlp,0.1,55,1400,male,male,1326
gender,logistic_regression,0.1,89,1400,female,female,1256
gender,logistic_regression,0.1,89,1400,female,male,481
gender,logistic_regression,0.1,89,1400,male,female,511
gender,logistic_regression,0.1,89,1400,male,male,1251
gender,random_forest,0.1,89,1400,female,female,1292
gender,random_forest,0.1,89,1400,female,male,445
gender,random_forest,0.1,89,1400,male,female,530
gender,random_forest,0.1,89,1400,male,male,1232
gender,hist_gradient_boosting,0.1,89,1400,female,female,1257
gender,hist_gradient_boosting,0.1,89,1400,female,male,480
gender,hist_gradient_boosting,0.1,89,1400,male,female,511
gender,hist_gradient_boosting,0.1,89,1400,male,male,1251
gender,xgboost,0.1,89,1400,female,female,1321
gender,xgboost,0.1,89,1400,female,male,416
gender,xgboost,0.1,89,1400,male,female,483
gender,xgboost,0.1,89,1400,male,male,1279
gender,mlp,0.1,89,1400,female,female,1290
gender,mlp,0.1,89,1400,female,male,447
gender,mlp,0.1,89,1400,male,female,469
gender,mlp,0.1,89,1400,male,male,1293
gender,logistic_regression,0.25,13,3499,female,female,1288
gender,logistic_regression,0.25,13,3499,female,male,449
gender,logistic_regression,0.25,13,3499,male,female,381
gender,logistic_regression,0.25,13,3499,male,male,1381
gender,random_forest,0.25,13,3499,female,female,1283
gender,random_forest,0.25,13,3499,female,male,454
gender,random_forest,0.25,13,3499,male,female,497
gender,random_forest,0.25,13,3499,male,male,1265
gender,hist_gradient_boosting,0.25,13,3499,female,female,1319
gender,hist_gradient_boosting,0.25,13,3499,female,male,418
gender,hist_gradient_boosting,0.25,13,3499,male,female,457
gender,hist_gradient_boosting,0.25,13,3499,male,male,1305
gender,xgboost,0.25,13,3499,female,female,1309
gender,xgboost,0.25,13,3499,female,male,428
gender,xgboost,0.25,13,3499,male,female,435
gender,xgboost,0.25,13,3499,male,male,1327
gender,mlp,0.25,13,3499,female,female,1330
gender,mlp,0.25,13,3499,female,male,407
gender,mlp,0.25,13,3499,male,female,383
gender,mlp,0.25,13,3499,male,male,1379
gender,logistic_regression,0.25,21,3499,female,female,1308
gender,logistic_regression,0.25,21,3499,female,male,429
gender,logistic_regression,0.25,21,3499,male,female,408
gender,logistic_regression,0.25,21,3499,male,male,1354
gender,random_forest,0.25,21,3499,female,female,1283
gender,random_forest,0.25,21,3499,female,male,454
gender,random_forest,0.25,21,3499,male,female,446
gender,random_forest,0.25,21,3499,male,male,1316
gender,hist_gradient_boosting,0.25,21,3499,female,female,1279
gender,hist_gradient_boosting,0.25,21,3499,female,male,458
gender,hist_gradient_boosting,0.25,21,3499,male,female,405
gender,hist_gradient_boosting,0.25,21,3499,male,male,1357
gender,xgboost,0.25,21,3499,female,female,1307
gender,xgboost,0.25,21,3499,female,male,430
gender,xgboost,0.25,21,3499,male,female,411
gender,xgboost,0.25,21,3499,male,male,1351
gender,mlp,0.25,21,3499,female,female,1287
gender,mlp,0.25,21,3499,female,male,450
gender,mlp,0.25,21,3499,male,female,371
gender,mlp,0.25,21,3499,male,male,1391
gender,logistic_regression,0.25,34,3499,female,female,1318
gender,logistic_regression,0.25,34,3499,female,male,419
gender,logistic_regression,0.25,34,3499,male,female,382
gender,logistic_regression,0.25,34,3499,male,male,1380
gender,random_forest,0.25,34,3499,female,female,1266
gender,random_forest,0.25,34,3499,female,male,471
gender,random_forest,0.25,34,3499,male,female,451
gender,random_forest,0.25,34,3499,male,male,1311
gender,hist_gradient_boosting,0.25,34,3499,female,female,1291
gender,hist_gradient_boosting,0.25,34,3499,female,male,446
gender,hist_gradient_boosting,0.25,34,3499,male,female,417
gender,hist_gradient_boosting,0.25,34,3499,male,male,1345
gender,xgboost,0.25,34,3499,female,female,1308
gender,xgboost,0.25,34,3499,female,male,429
gender,xgboost,0.25,34,3499,male,female,395
gender,xgboost,0.25,34,3499,male,male,1367
gender,mlp,0.25,34,3499,female,female,1298
gender,mlp,0.25,34,3499,female,male,439
gender,mlp,0.25,34,3499,male,female,384
gender,mlp,0.25,34,3499,male,male,1378
gender,logistic_regression,0.25,55,3499,female,female,1343
gender,logistic_regression,0.25,55,3499,female,male,394
gender,logistic_regression,0.25,55,3499,male,female,436
gender,logistic_regression,0.25,55,3499,male,male,1326
gender,random_forest,0.25,55,3499,female,female,1310
gender,random_forest,0.25,55,3499,female,male,427
gender,random_forest,0.25,55,3499,male,female,488
gender,random_forest,0.25,55,3499,male,male,1274
gender,hist_gradient_boosting,0.25,55,3499,female,female,1330
gender,hist_gradient_boosting,0.25,55,3499,female,male,407
gender,hist_gradient_boosting,0.25,55,3499,male,female,461
gender,hist_gradient_boosting,0.25,55,3499,male,male,1301
gender,xgboost,0.25,55,3499,female,female,1337
gender,xgboost,0.25,55,3499,female,male,400
gender,xgboost,0.25,55,3499,male,female,429
gender,xgboost,0.25,55,3499,male,male,1333
gender,mlp,0.25,55,3499,female,female,1323
gender,mlp,0.25,55,3499,female,male,414
gender,mlp,0.25,55,3499,male,female,412
gender,mlp,0.25,55,3499,male,male,1350
gender,logistic_regression,0.25,89,3499,female,female,1317
gender,logistic_regression,0.25,89,3499,female,male,420
gender,logistic_regression,0.25,89,3499,male,female,418
gender,logistic_regression,0.25,89,3499,male,male,1344
gender,random_forest,0.25,89,3499,female,female,1290
gender,random_forest,0.25,89,3499,female,male,447
gender,random_forest,0.25,89,3499,male,female,492
gender,random_forest,0.25,89,3499,male,male,1270
gender,hist_gradient_boosting,0.25,89,3499,female,female,1295
gender,hist_gradient_boosting,0.25,89,3499,female,male,442
gender,hist_gradient_boosting,0.25,89,3499,male,female,474
gender,hist_gradient_boosting,0.25,89,3499,male,male,1288
gender,xgboost,0.25,89,3499,female,female,1314
gender,xgboost,0.25,89,3499,female,male,423
gender,xgboost,0.25,89,3499,male,female,437
gender,xgboost,0.25,89,3499,male,male,1325
gender,mlp,0.25,89,3499,female,female,1307
gender,mlp,0.25,89,3499,female,male,430
gender,mlp,0.25,89,3499,male,female,393
gender,mlp,0.25,89,3499,male,male,1369
gender,logistic_regression,0.5,13,6998,female,female,1336
gender,logistic_regression,0.5,13,6998,female,male,401
gender,logistic_regression,0.5,13,6998,male,female,392
gender,logistic_regression,0.5,13,6998,male,male,1370
gender,random_forest,0.5,13,6998,female,female,1295
gender,random_forest,0.5,13,6998,female,male,442
gender,random_forest,0.5,13,6998,male,female,453
gender,random_forest,0.5,13,6998,male,male,1309
gender,hist_gradient_boosting,0.5,13,6998,female,female,1305
gender,hist_gradient_boosting,0.5,13,6998,female,male,432
gender,hist_gradient_boosting,0.5,13,6998,male,female,426
gender,hist_gradient_boosting,0.5,13,6998,male,male,1336
gender,xgboost,0.5,13,6998,female,female,1320
gender,xgboost,0.5,13,6998,female,male,417
gender,xgboost,0.5,13,6998,male,female,413
gender,xgboost,0.5,13,6998,male,male,1349
gender,mlp,0.5,13,6998,female,female,1321
gender,mlp,0.5,13,6998,female,male,416
gender,mlp,0.5,13,6998,male,female,371
gender,mlp,0.5,13,6998,male,male,1391
gender,logistic_regression,0.5,21,6998,female,female,1337
gender,logistic_regression,0.5,21,6998,female,male,400
gender,logistic_regression,0.5,21,6998,male,female,381
gender,logistic_regression,0.5,21,6998,male,male,1381
gender,random_forest,0.5,21,6998,female,female,1278
gender,random_forest,0.5,21,6998,female,male,459
gender,random_forest,0.5,21,6998,male,female,461
gender,random_forest,0.5,21,6998,male,male,1301
gender,hist_gradient_boosting,0.5,21,6998,female,female,1309
gender,hist_gradient_boosting,0.5,21,6998,female,male,428
gender,hist_gradient_boosting,0.5,21,6998,male,female,420
gender,hist_gradient_boosting,0.5,21,6998,male,male,1342
gender,xgboost,0.5,21,6998,female,female,1313
gender,xgboost,0.5,21,6998,female,male,424
gender,xgboost,0.5,21,6998,male,female,404
gender,xgboost,0.5,21,6998,male,male,1358
gender,mlp,0.5,21,6998,female,female,1321
gender,mlp,0.5,21,6998,female,male,416
gender,mlp,0.5,21,6998,male,female,353
gender,mlp,0.5,21,6998,male,male,1409
gender,logistic_regression,0.5,34,6998,female,female,1336
gender,logistic_regression,0.5,34,6998,female,male,401
gender,logistic_regression,0.5,34,6998,male,female,384
gender,logistic_regression,0.5,34,6998,male,male,1378
gender,random_forest,0.5,34,6998,female,female,1283
gender,random_forest,0.5,34,6998,female,male,454
gender,random_forest,0.5,34,6998,male,female,477
gender,random_forest,0.5,34,6998,male,male,1285
gender,hist_gradient_boosting,0.5,34,6998,female,female,1307
gender,hist_gradient_boosting,0.5,34,6998,female,male,430
gender,hist_gradient_boosting,0.5,34,6998,male,female,443
gender,hist_gradient_boosting,0.5,34,6998,male,male,1319
gender,xgboost,0.5,34,6998,female,female,1331
gender,xgboost,0.5,34,6998,female,male,406
gender,xgboost,0.5,34,6998,male,female,439
gender,xgboost,0.5,34,6998,male,male,1323
gender,mlp,0.5,34,6998,female,female,1349
gender,mlp,0.5,34,6998,female,male,388
gender,mlp,0.5,34,6998,male,female,379
gender,mlp,0.5,34,6998,male,male,1383
gender,logistic_regression,0.5,55,6998,female,female,1336
gender,logistic_regression,0.5,55,6998,female,male,401
gender,logistic_regression,0.5,55,6998,male,female,388
gender,logistic_regression,0.5,55,6998,male,male,1374
gender,random_forest,0.5,55,6998,female,female,1291
gender,random_forest,0.5,55,6998,female,male,446
gender,random_forest,0.5,55,6998,male,female,497
gender,random_forest,0.5,55,6998,male,male,1265
gender,hist_gradient_boosting,0.5,55,6998,female,female,1307
gender,hist_gradient_boosting,0.5,55,6998,female,male,430
gender,hist_gradient_boosting,0.5,55,6998,male,female,426
gender,hist_gradient_boosting,0.5,55,6998,male,male,1336
gender,xgboost,0.5,55,6998,female,female,1317
gender,xgboost,0.5,55,6998,female,male,420
gender,xgboost,0.5,55,6998,male,female,400
gender,xgboost,0.5,55,6998,male,male,1362
gender,mlp,0.5,55,6998,female,female,1346
gender,mlp,0.5,55,6998,female,male,391
gender,mlp,0.5,55,6998,male,female,417
gender,mlp,0.5,55,6998,male,male,1345
gender,logistic_regression,0.5,89,6998,female,female,1330
gender,logistic_regression,0.5,89,6998,female,male,407
gender,logistic_regression,0.5,89,6998,male,female,360
gender,logistic_regression,0.5,89,6998,male,male,1402
gender,random_forest,0.5,89,6998,female,female,1284
gender,random_forest,0.5,89,6998,female,male,453
gender,random_forest,0.5,89,6998,male,female,486
gender,random_forest,0.5,89,6998,male,male,1276
gender,hist_gradient_boosting,0.5,89,6998,female,female,1322
gender,hist_gradient_boosting,0.5,89,6998,female,male,415
gender,hist_gradient_boosting,0.5,89,6998,male,female,433
gender,hist_gradient_boosting,0.5,89,6998,male,male,1329
gender,xgboost,0.5,89,6998,female,female,1326
gender,xgboost,0.5,89,6998,female,male,411
gender,xgboost,0.5,89,6998,male,female,404
gender,xgboost,0.5,89,6998,male,male,1358
gender,mlp,0.5,89,6998,female,female,1327
gender,mlp,0.5,89,6998,female,male,410
gender,mlp,0.5,89,6998,male,female,375
gender,mlp,0.5,89,6998,male,male,1387
gender,logistic_regression,0.75,13,10496,female,female,1346
gender,logistic_regression,0.75,13,10496,female,male,391
gender,logistic_regression,0.75,13,10496,male,female,378
gender,logistic_regression,0.75,13,10496,male,male,1384
gender,random_forest,0.75,13,10496,female,female,1304
gender,random_forest,0.75,13,10496,female,male,433
gender,random_forest,0.75,13,10496,male,female,481
gender,random_forest,0.75,13,10496,male,male,1281
gender,hist_gradient_boosting,0.75,13,10496,female,female,1333
gender,hist_gradient_boosting,0.75,13,10496,female,male,404
gender,hist_gradient_boosting,0.75,13,10496,male,female,417
