task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
gender,logistic_regression,0.1,13,1400,female,0.5114717403469502,0.5261945883707542,0.5187287173666288,1737.0
gender,logistic_regression,0.1,13,1400,male,0.5192757009345794,0.5045402951191827,0.5118019573978123,1762.0
gender,random_forest,0.1,13,1400,female,0.5052243392747388,0.47322970639032813,0.4887039239001189,1737.0
gender,random_forest,0.1,13,1400,male,0.5112179487179487,0.5431328036322361,0.5266923500275179,1762.0
gender,hist_gradient_boosting,0.1,13,1400,female,0.48747016706443913,0.4703511801957398,0.4787576911807794,1737.0
gender,hist_gradient_boosting,0.1,13,1400,male,0.4953373560065826,0.5124858115777525,0.503765690376569,1762.0
gender,xgboost,0.1,13,1400,female,0.5096660808435852,0.5008635578583766,0.5052264808362369,1737.0
gender,xgboost,0.1,13,1400,male,0.5161830357142857,0.5249716231555052,0.5205402363534046,1762.0
gender,mlp,0.1,13,1400,female,0.48036715961244264,0.542314335060449,0.5094645754461872,1737.0
gender,mlp,0.1,13,1400,male,0.4830949284785436,0.4216799091940976,0.4503030303030303,1762.0
gender,logistic_regression,0.1,21,1400,female,0.50379451255108,0.4968336211859528,0.5002898550724638,1737.0
gender,logistic_regression,0.1,21,1400,male,0.5106382978723404,0.5175936435868331,0.5140924464487034,1762.0
gender,random_forest,0.1,21,1400,female,0.505338078291815,0.4905008635578584,0.49780893952673094,1737.0
gender,random_forest,0.1,21,1400,male,0.5118587975730833,0.5266742338251986,0.5191608391608392,1762.0
gender,hist_gradient_boosting,0.1,21,1400,female,0.5053956834532374,0.4853195164075993,0.4951541850220264,1737.0
gender,hist_gradient_boosting,0.1,21,1400,male,0.5117422173675588,0.5317820658342792,0.521569718897857,1762.0
gender,xgboost,0.1,21,1400,female,0.5020034344590727,0.5048934945308002,0.5034443168771527,1737.0
gender,xgboost,0.1,21,1400,male,0.5091324200913242,0.5062429057888763,0.5076835515082527,1762.0
gender,mlp,0.1,21,1400,female,0.4994606256742179,0.5331030512377662,0.5157337788916736,1737.0
gender,mlp,0.1,21,1400,male,0.5069908814589665,0.4733257661748014,0.48958027590255354,1762.0
gender,logistic_regression,0.1,34,1400,female,0.5232815964523282,0.5434657455382844,0.5331827167466817,1737.0
gender,logistic_regression,0.1,34,1400,male,0.5321533923303835,0.5119182746878547,0.5218397454440266,1762.0
gender,random_forest,0.1,34,1400,female,0.5045427013930951,0.47956246401842256,0.49173553719008267,1737.0
gender,random_forest,0.1,34,1400,male,0.5108225108225108,0.5357548240635641,0.5229916897506925,1762.0
gender,hist_gradient_boosting,0.1,34,1400,female,0.4877906976744186,0.4830166954519286,0.4853919583453862,1737.0
gender,hist_gradient_boosting,0.1,34,1400,male,0.4952220348510399,0.5,0.49759954815024005,1762.0
gender,xgboost,0.1,34,1400,female,0.5043579314352121,0.49971214738054115,0.5020242914979757,1737.0
gender,xgboost,0.1,34,1400,male,0.5112485939257593,0.5158910329171397,0.5135593220338983,1762.0
gender,mlp,0.1,34,1400,female,0.495928338762215,0.35060449050086356,0.4107925801011804,1737.0
gender,mlp,0.1,34,1400,male,0.5033025099075297,0.6486946651532349,0.5668237044383834,1762.0
gender,logistic_regression,0.1,55,1400,female,0.497907949790795,0.47956246401842256,0.48856304985337246,1737.0
gender,logistic_regression,0.1,55,1400,male,0.5049288061336255,0.5232690124858116,0.5139353400222966,1762.0
gender,random_forest,0.1,55,1400,female,0.5035415325177076,0.4502014968336212,0.47537993920972643,1737.0
gender,random_forest,0.1,55,1400,male,0.5092497430626927,0.5624290578887627,0.5345199568500539,1762.0
gender,hist_gradient_boosting,0.1,55,1400,female,0.5097115950559152,0.4985607369027058,0.5040745052386496,1737.0
gender,hist_gradient_boosting,0.1,55,1400,male,0.5161111111111111,0.5272417707150965,0.5216170690623245,1762.0
gender,xgboost,0.1,55,1400,female,0.49634591961023145,0.46919976971790445,0.4823912400118378,1737.0
gender,xgboost,0.1,55,1400,male,0.5035002692514808,0.5306469920544835,0.5167173252279635,1762.0
