task,classifier,train_fraction,seed,n_train,metric,value
gender,logistic_regression,0.1,13,1400,accuracy,0.5152900828808231
gender,logistic_regression,0.1,13,1400,balanced_accuracy,0.5153674417449685
gender,logistic_regression,0.1,13,1400,precision_macro,0.5153737206407648
gender,logistic_regression,0.1,13,1400,recall_macro,0.5153674417449685
gender,logistic_regression,0.1,13,1400,f1_macro,0.5152653373822206
gender,logistic_regression,0.1,13,1400,precision_micro,0.5152900828808231
gender,logistic_regression,0.1,13,1400,recall_micro,0.5152900828808231
gender,logistic_regression,0.1,13,1400,f1_micro,0.5152900828808231
gender,logistic_regression,0.1,13,1400,precision_weighted,0.5154015998940787
gender,logistic_regression,0.1,13,1400,recall_weighted,0.5152900828808231
gender,logistic_regression,0.1,13,1400,f1_weighted,0.515240591883618
gender,random_forest,0.1,13,1400,accuracy,0.50843098028008
gender,random_forest,0.1,13,1400,balanced_accuracy,0.5081812550112821
gender,random_forest,0.1,13,1400,precision_macro,0.5082211439963438
gender,random_forest,0.1,13,1400,recall_macro,0.5081812550112821
gender,random_forest,0.1,13,1400,f1_macro,0.5076981369638184
gender,random_forest,0.1,13,1400,precision_micro,0.50843098028008
gender,random_forest,0.1,13,1400,recall_micro,0.50843098028008
gender,random_forest,0.1,13,1400,f1_micro,0.50843098028008
gender,random_forest,0.1,13,1400,precision_weighted,0.508242555862031
gender,random_forest,0.1,13,1400,recall_weighted,0.50843098028008
gender,random_forest,0.1,13,1400,f1_weighted,0.5078338486890521
gender,hist_gradient_boosting,0.1,13,1400,accuracy,0.49156901971991995
gender,hist_gradient_boosting,0.1,13,1400,balanced_accuracy,0.49141849588674613
gender,hist_gradient_boosting,0.1,13,1400,precision_macro,0.49140376153551085
gender,hist_gradient_boosting,0.1,13,1400,recall_macro,0.49141849588674613
gender,hist_gradient_boosting,0.1,13,1400,f1_macro,0.4912616907786742
gender,hist_gradient_boosting,0.1,13,1400,precision_micro,0.49156901971991995
gender,hist_gradient_boosting,0.1,13,1400,recall_micro,0.49156901971991995
gender,hist_gradient_boosting,0.1,13,1400,f1_micro,0.49156901971991995
gender,hist_gradient_boosting,0.1,13,1400,precision_weighted,0.4914318666689138
gender,hist_gradient_boosting,0.1,13,1400,recall_weighted,0.49156901971991995
gender,hist_gradient_boosting,0.1,13,1400,f1_weighted,0.4913510305871759
gender,xgboost,0.1,13,1400,accuracy,0.5130037153472421
gender,xgboost,0.1,13,1400,balanced_accuracy,0.5129175905069409
gender,xgboost,0.1,13,1400,precision_macro,0.5129245582789355
gender,xgboost,0.1,13,1400,recall_macro,0.5129175905069409
gender,xgboost,0.1,13,1400,f1_macro,0.5128833585948207
gender,xgboost,0.1,13,1400,precision_micro,0.5130037153472421
gender,xgboost,0.1,13,1400,recall_micro,0.5130037153472421
gender,xgboost,0.1,13,1400,f1_micro,0.5130037153472421
gender,xgboost,0.1,13,1400,precision_weighted,0.5129478397696139
gender,xgboost,0.1,13,1400,recall_weighted,0.5130037153472421
gender,xgboost,0.1,13,1400,f1_weighted,0.5129380662095577
gender,mlp,0.1,13,1400,accuracy,0.481566161760503
gender,mlp,0.1,13,1400,balanced_accuracy,0.4819971221272733
gender,mlp,0.1,13,1400,precision_macro,0.4817310440454931
gender,mlp,0.1,13,1400,recall_macro,0.4819971221272733
gender,mlp,0.1,13,1400,f1_macro,0.47988380287460874
gender,mlp,0.1,13,1400,precision_micro,0.481566161760503
gender,mlp,0.1,13,1400,recall_micro,0.481566161760503
gender,mlp,0.1,13,1400,f1_micro,0.481566161760503
