task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
gender,logistic_regression,0.1,13,1400,female,0.5111982082866742,0.5256188831318365,0.518308260005677,1737.0
gender,logistic_regression,0.1,13,1400,male,0.5189725627553999,0.5045402951191827,0.5116546762589929,1762.0
gender,random_forest,0.1,13,1400,female,0.5155875299760192,0.49510650546919976,0.5051395007342144,1737.0
gender,random_forest,0.1,13,1400,male,0.5210267613326052,0.5414301929625426,0.5310325633175619,1762.0
gender,hist_gradient_boosting,0.1,13,1400,female,0.5036619718309859,0.5146804835924007,0.5091116173120729,1737.0
gender,hist_gradient_boosting,0.1,13,1400,male,0.5110208816705336,0.5,0.5054503729202524,1762.0
gender,xgboost,0.1,13,1400,female,0.5144843568945539,0.5112262521588946,0.5128501299451342,1737.0
gender,xgboost,0.1,13,1400,male,0.5211505922165821,0.5244040862656073,0.5227722772277228,1762.0
gender,mlp,0.1,13,1400,female,0.48083801737353093,0.5417386298215314,0.5094748240389821,1737.0
gender,mlp,0.1,13,1400,male,0.48378728923476005,0.42338251986379116,0.4515738498789346,1762.0
gender,logistic_regression,0.1,21,1400,female,0.5047003525264395,0.4945308002302821,0.49956382669380633,1737.0
gender,logistic_regression,0.1,21,1400,male,0.5114079020589872,0.521566401816118,0.5164372014610846,1762.0
gender,random_forest,0.1,21,1400,female,0.4988066825775656,0.4812895797351756,0.48989159097568125,1737.0
gender,random_forest,0.1,21,1400,male,0.505759736697751,0.5232690124858116,0.5143654114365411,1762.0
gender,hist_gradient_boosting,0.1,21,1400,female,0.4984912492456246,0.4755325273459988,0.48674130819092515,1737.0
gender,hist_gradient_boosting,0.1,21,1400,male,0.50542888165038,0.5283768444948922,0.5166481687014428,1762.0
gender,xgboost,0.1,21,1400,female,0.5113378684807256,0.5192861255037421,0.5152813481862325,1737.0
gender,xgboost,0.1,21,1400,male,0.5187319884726225,0.5107832009080591,0.5147269087789534,1762.0
gender,mlp,0.1,21,1400,female,0.5067824199674443,0.5377086931491076,0.5217877094972067,1737.0
gender,mlp,0.1,21,1400,male,0.5150966183574879,0.4841089670828604,0.49912229373902867,1762.0
gender,logistic_regression,0.1,34,1400,female,0.5231714126186487,0.5394358088658607,0.5311791383219955,1737.0
gender,logistic_regression,0.1,34,1400,male,0.531615925058548,0.5153234960272418,0.523342939481268,1762.0
gender,random_forest,0.1,34,1400,female,0.5053956834532374,0.4853195164075993,0.4951541850220264,1737.0
gender,random_forest,0.1,34,1400,male,0.5117422173675588,0.5317820658342792,0.521569718897857,1762.0
gender,hist_gradient_boosting,0.1,34,1400,female,0.5095150399017803,0.47783534830166957,0.49316696375519903,1737.0
gender,hist_gradient_boosting,0.1,34,1400,male,0.5149732620320856,0.5465380249716232,0.5302863436123348,1762.0
gender,xgboost,0.1,34,1400,female,0.505431675242996,0.5089234312032239,0.5071715433161216,1737.0
gender,xgboost,0.1,34,1400,male,0.5125714285714286,0.5090805902383655,0.5108200455580866,1762.0
gender,mlp,0.1,34,1400,female,0.5084745762711864,0.5354058721934369,0.5215928210880538,1737.0
gender,mlp,0.1,34,1400,male,0.5167664670658683,0.4897843359818388,0.502913752913753,1762.0
gender,logistic_regression,0.1,55,1400,female,0.5011904761904762,0.48474381116868165,0.49282996780801874,1737.0
gender,logistic_regression,0.1,55,1400,male,0.5079714128642111,0.5244040862656073,0.5160569673275621,1762.0
gender,random_forest,0.1,55,1400,female,0.5038412291933418,0.45308002302820954,0.4771142770536526,1737.0
gender,random_forest,0.1,55,1400,male,0.5095508518327311,0.5601589103291714,0.5336577453365775,1762.0
gender,hist_gradient_boosting,0.1,55,1400,female,0.5076452599388379,0.47783534830166957,0.49228944246737844,1737.0
gender,hist_gradient_boosting,0.1,55,1400,male,0.5134120171673819,0.5431328036322361,0.5278543849972421,1762.0
gender,xgboost,0.1,55,1400,female,0.4982078853046595,0.48013816925734026,0.4890061565523307,1737.0
gender,xgboost,0.1,55,1400,male,0.5052054794520547,0.5232690124858116,0.514078617228882,1762.0
gender,mlp,0.1,55,1400,female,0.5009262689885142,0.7783534830166955,0.6095581605049594,1737.0
gender,mlp,0.1,55,1400,male,0.51875,0.235527809307605,0.3239656518345043,1762.0
gender,logistic_regression,0.1,89,1400,female,0.5003095975232198,0.4651698330454807,0.4821002386634845,1737.0
gender,logistic_regression,0.1,89,1400,male,0.5069002123142251,0.5419977298524404,0.523861766319254,1762.0
gender,random_forest,0.1,89,1400,female,0.4981527093596059,0.4657455382843984,0.4814043439452544,1737.0
gender,random_forest,0.1,89,1400,male,0.5050666666666667,0.5374574347332577,0.5207588671982403,1762.0
gender,hist_gradient_boosting,0.1,89,1400,female,0.49941656942823803,0.49280368451352907,0.4960880904085772,1737.0
gender,hist_gradient_boosting,0.1,89,1400,male,0.5064425770308123,0.5130533484676504,0.5097265294615168,1762.0
gender,xgboost,0.1,89,1400,female,0.4919499105545617,0.4749568221070812,0.4833040421792619,1737.0
gender,xgboost,0.1,89,1400,male,0.4994511525795829,0.5164585698070374,0.5078125,1762.0
gender,mlp,0.1,89,1400,female,0.5021725636250776,0.4657455382843984,0.483273596176822,1737.0
gender,mlp,0.1,89,1400,male,0.5084745762711864,0.5448354143019296,0.5260273972602739,1762.0
gender,logistic_regression,0.25,13,3499,female,0.5019390581717451,0.5215889464594128,0.5115753811405985,1737.0
gender,logistic_regression,0.25,13,3499,male,0.5094451003541912,0.4897843359818388,0.4994212962962963,1762.0
gender,random_forest,0.25,13,3499,female,0.5018315018315018,0.47322970639032813,0.4871111111111111,1737.0
gender,random_forest,0.25,13,3499,male,0.5083288554540569,0.5368898978433598,0.5222191553960805,1762.0
gender,hist_gradient_boosting,0.25,13,3499,female,0.5009392611145899,0.4605641911341393,0.47990401919616077,1737.0
gender,hist_gradient_boosting,0.25,13,3499,male,0.5073606729758149,0.5476730987514189,0.5267467248908297,1762.0
gender,xgboost,0.25,13,3499,female,0.49732302201070794,0.4812895797351756,0.489174956114687,1737.0
gender,xgboost,0.25,13,3499,male,0.5044004400440044,0.5204313280363224,0.5122905027932961,1762.0
gender,mlp,0.25,13,3499,female,0.47478991596638653,0.45538284398388024,0.46488392594769323,1737.0
gender,mlp,0.25,13,3499,male,0.4839061647572286,0.503405221339387,0.4934631432545202,1762.0
gender,logistic_regression,0.25,21,3499,female,0.49269433080070135,0.4853195164075993,0.48897911832946633,1737.0
gender,logistic_regression,0.25,21,3499,male,0.5,0.5073779795686719,0.5036619718309859,1762.0
gender,random_forest,0.25,21,3499,female,0.48534798534798534,0.45768566493955093,0.4711111111111111,1737.0
gender,random_forest,0.25,21,3499,male,0.4938205265986029,0.521566401816118,0.5073143803477781,1762.0
gender,hist_gradient_boosting,0.25,21,3499,female,0.5055350553505535,0.47322970639032813,0.4888492417484389,1737.0
gender,hist_gradient_boosting,0.25,21,3499,male,0.5114789108382275,0.5437003405221339,0.5270976616231087,1762.0
gender,xgboost,0.25,21,3499,female,0.49229857819905215,0.4784110535405872,0.48525547445255474,1737.0
gender,xgboost,0.25,21,3499,male,0.49972390944229705,0.5136208853575482,0.5065771060733277,1762.0
gender,mlp,0.25,21,3499,female,0.4972191323692992,0.5146804835924007,0.5057991513437058,1737.0
gender,mlp,0.25,21,3499,male,0.5044091710758377,0.4869466515323496,0.4955241120415824,1762.0
gender,logistic_regression,0.25,34,3499,female,0.4942528735632184,0.49510650546919976,0.4946793212539546,1737.0
gender,logistic_regression,0.25,34,3499,male,0.5014212620807277,0.5005675368898979,0.5009940357852882,1762.0
gender,random_forest,0.25,34,3499,female,0.5115264797507788,0.4726540011514105,0.49132256134051466,1737.0
gender,random_forest,0.25,34,3499,male,0.5163674762407603,0.5550510783200908,0.5350109409190372,1762.0
gender,hist_gradient_boosting,0.25,34,3499,female,0.47300613496932514,0.4438687392055268,0.45797445797445796,1737.0
gender,hist_gradient_boosting,0.25,34,3499,male,0.48314606741573035,0.5124858115777525,0.4973836408702837,1762.0
gender,xgboost,0.25,34,3499,female,0.5011574074074074,0.4985607369027058,0.49985569985569983,1737.0
gender,xgboost,0.25,34,3499,male,0.5081874647092038,0.5107832009080591,0.5094820266062836,1762.0
gender,mlp,0.25,34,3499,female,0.48783314020857477,0.48474381116868165,0.4862835691596881,1737.0
gender,mlp,0.25,34,3499,male,0.4952058657642414,0.4982973893303065,0.49674681753889677,1762.0
gender,logistic_regression,0.25,55,3499,female,0.5025936599423632,0.5020149683362118,0.5023041474654378,1737.0
gender,logistic_regression,0.25,55,3499,male,0.5096371882086168,0.5102156640181612,0.5099262620533183,1762.0
gender,random_forest,0.25,55,3499,female,0.48867924528301887,0.4473229706390328,0.4670874661857529,1737.0
gender,random_forest,0.25,55,3499,male,0.4971189104243059,0.5385925085130534,0.5170253336965405,1762.0
gender,hist_gradient_boosting,0.25,55,3499,female,0.4976331360946746,0.48416810592976395,0.49080828713160196,1737.0
gender,hist_gradient_boosting,0.25,55,3499,male,0.5046987285793256,0.518161180476731,0.5113413609633156,1762.0
gender,xgboost,0.25,55,3499,female,0.4862932061978546,0.4697754749568221,0.47789165446559295,1737.0
gender,xgboost,0.25,55,3499,male,0.4942339373970346,0.5107832009080591,0.5023723137036004,1762.0
gender,mlp,0.25,55,3499,female,0.5023094688221709,0.5008635578583766,0.5015854713173825,1737.0
gender,mlp,0.25,55,3499,male,0.5093378607809848,0.5107832009080591,0.5100595069424766,1762.0
gender,logistic_regression,0.25,89,3499,female,0.5025847214244687,0.5037420840529648,0.5031627372052904,1737.0
gender,logistic_regression,0.25,89,3499,male,0.5096700796359499,0.5085130533484676,0.509090909090909,1762.0
gender,random_forest,0.25,89,3499,female,0.5015124016938899,0.47725964306275187,0.48908554572271384,1737.0
gender,random_forest,0.25,89,3499,male,0.5081256771397616,0.5323496027241771,0.5199556541019955,1762.0
gender,hist_gradient_boosting,0.25,89,3499,female,0.4893238434163701,0.4749568221070812,0.4820333041191937,1737.0
gender,hist_gradient_boosting,0.25,89,3499,male,0.49696635410921125,0.5113507377979569,0.504055944055944,1762.0
gender,xgboost,0.25,89,3499,female,0.5028768699654775,0.5031663788140472,0.5030215827338129,1737.0
gender,xgboost,0.25,89,3499,male,0.5099375354911981,0.5096481271282634,0.5097927902355947,1762.0
gender,mlp,0.25,89,3499,female,0.5088927137119909,0.510650546919977,0.5097701149425288,1737.0
gender,mlp,0.25,89,3499,male,0.5159453302961275,0.5141884222474461,0.5150653780557135,1762.0
gender,logistic_regression,0.5,13,6998,female,0.5008695652173913,0.49740932642487046,0.49913344887348354,1737.0
gender,logistic_regression,0.5,13,6998,male,0.507891770011274,0.5113507377979569,0.5096153846153846,1762.0
gender,random_forest,0.5,13,6998,female,0.4931950745301361,0.43811168681635004,0.46402439024390246,1737.0
gender,random_forest,0.5,13,6998,male,0.5010224948875256,0.5561861520998865,0.5271651425497579,1762.0
gender,hist_gradient_boosting,0.5,13,6998,female,0.5078271759549154,0.46689694876223375,0.486502699460108,1737.0
