task,classifier,train_fraction,seed,n_train,metric,value
gender,logistic_regression,0.1,13,1400,accuracy,0.5150042869391255
gender,logistic_regression,0.1,13,1400,balanced_accuracy,0.5150795891255096
gender,logistic_regression,0.1,13,1400,precision_macro,0.5150853855210371
gender,logistic_regression,0.1,13,1400,recall_macro,0.5150795891255096
gender,logistic_regression,0.1,13,1400,f1_macro,0.5149814681323349
gender,logistic_regression,0.1,13,1400,precision_micro,0.5150042869391255
gender,logistic_regression,0.1,13,1400,recall_micro,0.5150042869391255
gender,logistic_regression,0.1,13,1400,f1_micro,0.5150042869391255
gender,logistic_regression,0.1,13,1400,precision_weighted,0.515113159007993
gender,logistic_regression,0.1,13,1400,recall_weighted,0.5150042869391255
gender,logistic_regression,0.1,13,1400,f1_weighted,0.5149576985419281
gender,random_forest,0.1,13,1400,accuracy,0.518433838239497
gender,random_forest,0.1,13,1400,balanced_accuracy,0.5182683492158712
gender,random_forest,0.1,13,1400,precision_macro,0.5183071456543122
gender,random_forest,0.1,13,1400,recall_macro,0.5182683492158712
gender,random_forest,0.1,13,1400,f1_macro,0.5180860320258882
gender,random_forest,0.1,13,1400,precision_micro,0.518433838239497
gender,random_forest,0.1,13,1400,recall_micro,0.518433838239497
gender,random_forest,0.1,13,1400,f1_micro,0.518433838239497
gender,random_forest,0.1,13,1400,precision_weighted,0.518326577032408
gender,random_forest,0.1,13,1400,recall_weighted,0.518433838239497
gender,random_forest,0.1,13,1400,f1_weighted,0.5181785336784437
gender,hist_gradient_boosting,0.1,13,1400,accuracy,0.5072877965132895
gender,hist_gradient_boosting,0.1,13,1400,balanced_accuracy,0.5073402417962003
gender,hist_gradient_boosting,0.1,13,1400,precision_macro,0.5073414267507598
gender,hist_gradient_boosting,0.1,13,1400,recall_macro,0.5073402417962003
gender,hist_gradient_boosting,0.1,13,1400,f1_macro,0.5072809951161626
gender,hist_gradient_boosting,0.1,13,1400,precision_micro,0.5072877965132895
gender,hist_gradient_boosting,0.1,13,1400,recall_micro,0.5072877965132895
gender,hist_gradient_boosting,0.1,13,1400,f1_micro,0.5072877965132895
gender,hist_gradient_boosting,0.1,13,1400,precision_weighted,0.507367716082853
gender,hist_gradient_boosting,0.1,13,1400,recall_weighted,0.5072877965132895
gender,hist_gradient_boosting,0.1,13,1400,f1_weighted,0.5072679155063033
gender,xgboost,0.1,13,1400,accuracy,0.5178622463561018
gender,xgboost,0.1,13,1400,balanced_accuracy,0.517815169212251
gender,xgboost,0.1,13,1400,precision_macro,0.5178174745555679
gender,xgboost,0.1,13,1400,recall_macro,0.517815169212251
gender,xgboost,0.1,13,1400,f1_macro,0.5178112035864285
gender,xgboost,0.1,13,1400,precision_micro,0.5178622463561018
gender,xgboost,0.1,13,1400,recall_micro,0.5178622463561018
gender,xgboost,0.1,13,1400,f1_micro,0.5178622463561018
gender,xgboost,0.1,13,1400,precision_weighted,0.5178412893430859
gender,xgboost,0.1,13,1400,recall_weighted,0.5178622463561018
gender,xgboost,0.1,13,1400,f1_weighted,0.5178466499542571
gender,mlp,0.1,13,1400,accuracy,0.48213775364389827
gender,mlp,0.1,13,1400,balanced_accuracy,0.4825605748426613
gender,mlp,0.1,13,1400,precision_macro,0.4823126533041455
gender,mlp,0.1,13,1400,recall_macro,0.4825605748426613
gender,mlp,0.1,13,1400,f1_macro,0.48052433695895835
gender,mlp,0.1,13,1400,precision_micro,0.48213775364389827
gender,mlp,0.1,13,1400,recall_micro,0.48213775364389827
gender,mlp,0.1,13,1400,f1_micro,0.48213775364389827
gender,mlp,0.1,13,1400,precision_weighted,0.4823231894282568
gender,mlp,0.1,13,1400,recall_weighted,0.48213775364389827
gender,mlp,0.1,13,1400,f1_weighted,0.48031748866601737
gender,logistic_regression,0.1,21,1400,accuracy,0.5081451843383824
gender,logistic_regression,0.1,21,1400,balanced_accuracy,0.5080486010232
gender,logistic_regression,0.1,21,1400,precision_macro,0.5080541272927134
gender,logistic_regression,0.1,21,1400,recall_macro,0.5080486010232
gender,logistic_regression,0.1,21,1400,f1_macro,0.5080005140774455
gender,logistic_regression,0.1,21,1400,precision_micro,0.5081451843383824
gender,logistic_regression,0.1,21,1400,recall_micro,0.5081451843383824
gender,logistic_regression,0.1,21,1400,f1_micro,0.5081451843383824
gender,logistic_regression,0.1,21,1400,precision_weighted,0.5080780896731526
gender,logistic_regression,0.1,21,1400,recall_weighted,0.5081451843383824
gender,logistic_regression,0.1,21,1400,f1_weighted,0.5080607933528359
gender,random_forest,0.1,21,1400,accuracy,0.5024292655044298
gender,random_forest,0.1,21,1400,balanced_accuracy,0.5022792961104936
gender,random_forest,0.1,21,1400,precision_macro,0.5022832096376583
gender,random_forest,0.1,21,1400,recall_macro,0.5022792961104936
gender,random_forest,0.1,21,1400,f1_macro,0.5021285012061112
gender,random_forest,0.1,21,1400,precision_micro,0.5024292655044298
gender,random_forest,0.1,21,1400,recall_micro,0.5024292655044298
gender,random_forest,0.1,21,1400,f1_micro,0.5024292655044298
gender,random_forest,0.1,21,1400,precision_weighted,0.5023080490707827
gender,random_forest,0.1,21,1400,recall_weighted,0.5024292655044298
gender,random_forest,0.1,21,1400,f1_weighted,0.5022159326881805
gender,hist_gradient_boosting,0.1,21,1400,accuracy,0.5021434695627323
gender,hist_gradient_boosting,0.1,21,1400,balanced_accuracy,0.5019546859204456
gender,hist_gradient_boosting,0.1,21,1400,precision_macro,0.5019600654480023
gender,hist_gradient_boosting,0.1,21,1400,recall_macro,0.5019546859204456
gender,hist_gradient_boosting,0.1,21,1400,f1_macro,0.501694738446184
gender,hist_gradient_boosting,0.1,21,1400,precision_micro,0.5021434695627323
gender,hist_gradient_boosting,0.1,21,1400,recall_micro,0.5021434695627323
gender,hist_gradient_boosting,0.1,21,1400,f1_micro,0.5021434695627323
gender,hist_gradient_boosting,0.1,21,1400,precision_weighted,0.5019848497878308
gender,hist_gradient_boosting,0.1,21,1400,recall_weighted,0.5021434695627323
gender,hist_gradient_boosting,0.1,21,1400,f1_weighted,0.5018015791882192
gender,xgboost,0.1,21,1400,accuracy,0.5150042869391255
gender,xgboost,0.1,21,1400,balanced_accuracy,0.5150346632059006
gender,xgboost,0.1,21,1400,precision_macro,0.515034928476674
gender,xgboost,0.1,21,1400,recall_macro,0.5150346632059006
gender,xgboost,0.1,21,1400,f1_macro,0.515004128482593
gender,xgboost,0.1,21,1400,precision_micro,0.5150042869391255
gender,xgboost,0.1,21,1400,recall_micro,0.5150042869391255
gender,xgboost,0.1,21,1400,f1_micro,0.5150042869391255
gender,xgboost,0.1,21,1400,precision_weighted,0.5150613435952504
gender,xgboost,0.1,21,1400,recall_weighted,0.5150042869391255
gender,xgboost,0.1,21,1400,f1_weighted,0.5150021477759366
gender,mlp,0.1,21,1400,accuracy,0.5107173478136611
gender,mlp,0.1,21,1400,balanced_accuracy,0.510908830115984
gender,mlp,0.1,21,1400,precision_macro,0.5109395191624662
gender,mlp,0.1,21,1400,recall_macro,0.510908830115984
gender,mlp,0.1,21,1400,f1_macro,0.5104550016181176
gender,mlp,0.1,21,1400,precision_micro,0.5107173478136611
gender,mlp,0.1,21,1400,recall_micro,0.5107173478136611
gender,mlp,0.1,21,1400,f1_micro,0.5107173478136611
gender,mlp,0.1,21,1400,precision_weighted,0.5109692212144453
gender,mlp,0.1,21,1400,recall_weighted,0.5107173478136611
gender,mlp,0.1,21,1400,f1_weighted,0.5103740305701104
gender,logistic_regression,0.1,34,1400,accuracy,0.5272935124321234
gender,logistic_regression,0.1,34,1400,balanced_accuracy,0.5273796524465513
gender,logistic_regression,0.1,34,1400,precision_macro,0.5273936688385984
gender,logistic_regression,0.1,34,1400,recall_macro,0.5273796524465513
gender,logistic_regression,0.1,34,1400,f1_macro,0.5272610389016317
gender,logistic_regression,0.1,34,1400,precision_micro,0.5272935124321234
gender,logistic_regression,0.1,34,1400,recall_micro,0.5272935124321234
gender,logistic_regression,0.1,34,1400,f1_micro,0.5272935124321234
gender,logistic_regression,0.1,34,1400,precision_weighted,0.5274238364309101
gender,logistic_regression,0.1,34,1400,recall_weighted,0.5272935124321235
gender,logistic_regression,0.1,34,1400,f1_weighted,0.527233044478794
gender,random_forest,0.1,34,1400,accuracy,0.5087167762217777
gender,random_forest,0.1,34,1400,balanced_accuracy,0.5085507911209393
gender,random_forest,0.1,34,1400,precision_macro,0.5085689504103981
gender,random_forest,0.1,34,1400,recall_macro,0.5085507911209393
gender,random_forest,0.1,34,1400,f1_macro,0.5083619519599417
gender,random_forest,0.1,34,1400,precision_micro,0.5087167762217777
gender,random_forest,0.1,34,1400,recall_micro,0.5087167762217777
gender,random_forest,0.1,34,1400,f1_micro,0.5087167762217777
gender,random_forest,0.1,34,1400,precision_weighted,0.508591623080855
gender,random_forest,0.1,34,1400,recall_weighted,0.5087167762217777
gender,random_forest,0.1,34,1400,f1_weighted,0.5084563201146853
gender,hist_gradient_boosting,0.1,34,1400,accuracy,0.5124321234638468
gender,hist_gradient_boosting,0.1,34,1400,balanced_accuracy,0.5121866866366463
gender,hist_gradient_boosting,0.1,34,1400,precision_macro,0.5122441509669329
gender,hist_gradient_boosting,0.1,34,1400,recall_macro,0.5121866866366463
gender,hist_gradient_boosting,0.1,34,1400,f1_macro,0.5117266536837669
gender,hist_gradient_boosting,0.1,34,1400,precision_micro,0.5124321234638468
gender,hist_gradient_boosting,0.1,34,1400,recall_micro,0.5124321234638468
gender,hist_gradient_boosting,0.1,34,1400,f1_micro,0.5124321234638468
gender,hist_gradient_boosting,0.1,34,1400,precision_weighted,0.5122636501886044
gender,hist_gradient_boosting,0.1,34,1400,recall_weighted,0.5124321234638468
gender,hist_gradient_boosting,0.1,34,1400,f1_weighted,0.5118592607852857
gender,xgboost,0.1,34,1400,accuracy,0.5090025721634753
gender,xgboost,0.1,34,1400,balanced_accuracy,0.5090020107207947
gender,xgboost,0.1,34,1400,precision_macro,0.5090015519072123
gender,xgboost,0.1,34,1400,recall_macro,0.5090020107207947
gender,xgboost,0.1,34,1400,f1_macro,0.5089957944371041
gender,xgboost,0.1,34,1400,precision_micro,0.5090025721634753
gender,xgboost,0.1,34,1400,recall_micro,0.5090025721634753
gender,xgboost,0.1,34,1400,f1_micro,0.5090025721634753
gender,xgboost,0.1,34,1400,precision_weighted,0.5090270583137873
gender,xgboost,0.1,34,1400,recall_weighted,0.5090025721634753
gender,xgboost,0.1,34,1400,f1_weighted,0.5090088285262795
gender,mlp,0.1,34,1400,accuracy,0.5124321234638468
gender,mlp,0.1,34,1400,balanced_accuracy,0.5125951040876379
gender,mlp,0.1,34,1400,precision_macro,0.5126205216685273
gender,mlp,0.1,34,1400,recall_macro,0.5125951040876379
gender,mlp,0.1,34,1400,f1_macro,0.5122532870009033
gender,mlp,0.1,34,1400,precision_micro,0.5124321234638468
gender,mlp,0.1,34,1400,recall_micro,0.5124321234638468
gender,mlp,0.1,34,1400,f1_micro,0.5124321234638468
gender,mlp,0.1,34,1400,precision_weighted,0.5126501440277538
gender,mlp,0.1,34,1400,recall_weighted,0.5124321234638468
gender,mlp,0.1,34,1400,f1_weighted,0.512186556977417
gender,logistic_regression,0.1,55,1400,accuracy,0.5047156330380108
gender,logistic_regression,0.1,55,1400,balanced_accuracy,0.5045739487171444
gender,logistic_regression,0.1,55,1400,precision_macro,0.5045809445273437
gender,logistic_regression,0.1,55,1400,recall_macro,0.5045739487171444
gender,logistic_regression,0.1,55,1400,f1_macro,0.5044434675677905
gender,logistic_regression,0.1,55,1400,precision_micro,0.5047156330380108
gender,logistic_regression,0.1,55,1400,recall_micro,0.5047156330380108
gender,logistic_regression,0.1,55,1400,f1_micro,0.5047156330380108
gender,logistic_regression,0.1,55,1400,precision_weighted,0.5046051690796219
gender,logistic_regression,0.1,55,1400,recall_weighted,0.5047156330380108
gender,logistic_regression,0.1,55,1400,f1_weighted,0.5045264448452966
gender,random_forest,0.1,55,1400,accuracy,0.5070020005715918
gender,random_forest,0.1,55,1400,balanced_accuracy,0.5066194666786905
gender,random_forest,0.1,55,1400,precision_macro,0.5066960405130365
gender,random_forest,0.1,55,1400,recall_macro,0.5066194666786905
gender,random_forest,0.1,55,1400,f1_macro,0.5053860111951151
gender,random_forest,0.1,55,1400,precision_micro,0.5070020005715918
gender,random_forest,0.1,55,1400,recall_micro,0.5070020005715918
gender,random_forest,0.1,55,1400,f1_micro,0.5070020005715918
gender,random_forest,0.1,55,1400,precision_weighted,0.5067164378502734
gender,random_forest,0.1,55,1400,recall_weighted,0.5070020005715918
gender,random_forest,0.1,55,1400,f1_weighted,0.5055880098671747
gender,hist_gradient_boosting,0.1,55,1400,accuracy,0.5107173478136611
gender,hist_gradient_boosting,0.1,55,1400,balanced_accuracy,0.5104840759669529
gender,hist_gradient_boosting,0.1,55,1400,precision_macro,0.5105286385531099
gender,hist_gradient_boosting,0.1,55,1400,recall_macro,0.5104840759669529
gender,hist_gradient_boosting,0.1,55,1400,f1_macro,0.5100719137323103
gender,hist_gradient_boosting,0.1,55,1400,precision_micro,0.5107173478136611
gender,hist_gradient_boosting,0.1,55,1400,recall_micro,0.5107173478136611
gender,hist_gradient_boosting,0.1,55,1400,f1_micro,0.5107173478136611
gender,hist_gradient_boosting,0.1,55,1400,precision_weighted,0.5105492400007684
gender,hist_gradient_boosting,0.1,55,1400,recall_weighted,0.5107173478136611
gender,hist_gradient_boosting,0.1,55,1400,f1_weighted,0.5101989676853321
gender,xgboost,0.1,55,1400,accuracy,0.5018576736210346
gender,xgboost,0.1,55,1400,balanced_accuracy,0.5017035908715759
gender,xgboost,0.1,55,1400,precision_macro,0.5017066823783571
