task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
gender,logistic_regression,0.1,13,1400,female,0.7180694526191878,0.7023603914795624,0.710128055878929,1737.0
gender,logistic_regression,0.1,13,1400,male,0.7127777777777777,0.728149829738933,0.7203818079730488,1762.0
gender,random_forest,0.1,13,1400,female,0.7149505526468877,0.7075417386298215,0.7112268518518519,1737.0
gender,random_forest,0.1,13,1400,male,0.7146067415730337,0.7219069239500567,0.7182382834556748,1762.0
gender,hist_gradient_boosting,0.1,13,1400,female,0.7143684820393974,0.7098445595854922,0.7120993358359804,1737.0
gender,hist_gradient_boosting,0.1,13,1400,male,0.7157360406091371,0.7202043132803633,0.717963224893918,1762.0
gender,xgboost,0.1,13,1400,female,0.7378867483946293,0.7276914219919401,0.7327536231884058,1737.0
gender,xgboost,0.1,13,1400,male,0.7351623740201568,0.7451759364358683,0.7401352874859075,1762.0
gender,mlp,0.1,13,1400,female,0.7510422870756402,0.7259643062751872,0.7382903981264637,1737.0
gender,mlp,0.1,13,1400,male,0.7384615384615385,0.7627695800227015,0.7504187604690117,1762.0
gender,logistic_regression,0.1,21,1400,female,0.7183972911963883,0.7328727691421992,0.725562838415503,1737.0
gender,logistic_regression,0.1,21,1400,male,0.7313259988419224,0.7167990919409761,0.7239896818572656,1762.0
gender,random_forest,0.1,21,1400,female,0.7035616438356165,0.7392055267702936,0.720943290286356,1737.0
gender,random_forest,0.1,21,1400,male,0.7293906810035843,0.6929625425652668,0.710710128055879,1762.0
gender,hist_gradient_boosting,0.1,21,1400,female,0.7011128775834659,0.7616580310880829,0.7301324503311258,1737.0
gender,hist_gradient_boosting,0.1,21,1400,male,0.7431761786600496,0.6799091940976163,0.7101363366923533,1762.0
gender,xgboost,0.1,21,1400,female,0.7200656096227447,0.7582037996545768,0.7386427369601795,1737.0
gender,xgboost,0.1,21,1400,male,0.7485029940119761,0.7094211123723042,0.7284382284382285,1762.0
gender,mlp,0.1,21,1400,female,0.7340540540540541,0.7818077144502015,0.757178700864232,1737.0
gender,mlp,0.1,21,1400,male,0.7701637355973318,0.720771850170261,0.7446496628554676,1762.0
gender,logistic_regression,0.1,34,1400,female,0.7383343177790904,0.7196315486470927,0.7288629737609329,1737.0
gender,logistic_regression,0.1,34,1400,male,0.730343300110742,0.7485811577752554,0.7393497757847534,1762.0
gender,random_forest,0.1,34,1400,female,0.7360047142015321,0.719055843408175,0.7274315666860803,1737.0
gender,random_forest,0.1,34,1400,male,0.7291897891231964,0.7457434733257662,0.7373737373737373,1762.0
gender,hist_gradient_boosting,0.1,34,1400,female,0.7208894090111176,0.7092688543465746,0.7150319210679048,1737.0
gender,hist_gradient_boosting,0.1,34,1400,male,0.7178770949720671,0.7292849035187288,0.723536036036036,1762.0
gender,xgboost,0.1,34,1400,female,0.7547058823529412,0.7386298215313759,0.7465813209194064,1737.0
gender,xgboost,0.1,34,1400,male,0.7476375764313508,0.7633371169125993,0.7554057848918843,1762.0
gender,mlp,0.1,34,1400,female,0.7576853526220615,0.7236614853195165,0.7402826855123675,1737.0
gender,mlp,0.1,34,1400,male,0.7391304347826086,0.771850170261067,0.7551360355358134,1762.0
gender,logistic_regression,0.1,55,1400,female,0.709165687426557,0.6948762233736328,0.701948240767665,1737.0
gender,logistic_regression,0.1,55,1400,male,0.7050639955481358,0.7190692395005676,0.711997752177578,1762.0
gender,random_forest,0.1,55,1400,female,0.7256586483390607,0.7294185377086931,0.7275337352856732,1737.0
gender,random_forest,0.1,55,1400,male,0.7318881916714204,0.728149829738933,0.7300142247510668,1762.0
gender,hist_gradient_boosting,0.1,55,1400,female,0.7195402298850575,0.7207829591249281,0.7201610583836641,1737.0
gender,hist_gradient_boosting,0.1,55,1400,male,0.7242751563388289,0.7230419977298524,0.7236580516898609,1762.0
gender,xgboost,0.1,55,1400,female,0.7400346620450606,0.7374784110535406,0.7387543252595156,1737.0
gender,xgboost,0.1,55,1400,male,0.7420814479638009,0.7446083995459705,0.743342776203966,1762.0
gender,mlp,0.1,55,1400,female,0.7417061611374408,0.7207829591249281,0.7310948905109489,1737.0
