epsilon,task,metric,mean_attack_score,mean_baseline_score,mean_privacy_gain_vs_baseline,mean_relative_attack_reduction,mean_attack_advantage_over_chance,n_groups
0.5,age,accuracy,0.40183366676193194,0.7201394684195483,0.31830580165761646,0.4417583060370689,nan,25
0.5,age,balanced_accuracy,0.3308890146249148,0.6267013872172061,0.2958123725922914,0.46851871110756277,0.08088901462491478,25
0.5,age,f1_macro,0.30983110102310446,0.6194209819093318,0.30958988088622735,0.4962414037939968,nan,25
0.5,gender,accuracy,0.5001977707916547,0.7554135467276363,0.2552157759359817,0.3373570618741298,nan,25
0.5,gender,balanced_accuracy,0.5000810143390466,0.7553910946698582,0.2553100803308116,0.3374952645763266,8.101433904662115e-05,25
0.5,gender,f1_macro,0.49900304657164685,0.7553628770279436,0.2563598304562967,0.33890982753610155,nan,25
1.0,age,accuracy,0.4013832523578165,0.7201394684195483,0.31875621606173193,0.44238709370726725,nan,25
1.0,age,balanced_accuracy,0.33069461656821814,0.6267013872172061,0.29600677064898795,0.46891505754455787,0.08069461656821819,25
1.0,age,f1_macro,0.30971794001764535,0.6194209819093318,0.30970304189168646,0.4964999779418249,nan,25
1.0,gender,accuracy,0.5007876536153186,0.7554135467276363,0.2546258931123178,0.3365498642452584,nan,25
1.0,gender,balanced_accuracy,0.5006721035197743,0.7553910946698582,0.2547189911500839,0.33668643719325175,0.0006721035197742741,25
1.0,gender,f1_macro,0.4998764375852505,0.7553628770279436,0.255486439442693,0.3377213212441104,nan,25
5.0,age,accuracy,0.4075815947413546,0.7201394684195483,0.31255787367819376,0.43382323710163334,nan,25
5.0,age,balanced_accuracy,0.335833761126089,0.6267013872172061,0.2908676260911173,0.46108840212495167,0.08583376112608888,25
5.0,age,f1_macro,0.3148160555069012,0.6194209819093318,0.30460492640243053,0.4886294374349045,nan,25
5.0,gender,accuracy,0.5026807659331238,0.7554135467276363,0.2527327807945127,0.334092592530324,nan,25
5.0,gender,balanced_accuracy,0.502562143165673,0.7553910946698582,0.2528289515041851,0.3342330741967245,0.0025621431656730766,25
5.0,gender,f1_macro,0.5018082487312201,0.7553628770279436,0.2535546282967234,0.3352136043844577,nan,25
10.0,age,accuracy,0.4184578450985996,0.7201394684195483,0.30168162332094883,0.4188317388299108,nan,25
10.0,age,balanced_accuracy,0.34487035078729456,0.6267013872172061,0.28183103642991164,0.44717522887627276,0.09487035078729457,25
10.0,age,f1_macro,0.3235830883702489,0.6194209819093318,0.29583789353908285,0.4749814673419032,nan,25
10.0,gender,accuracy,0.5093501000285796,0.7554135467276363,0.2460634466990569,0.325368743706982,nan,25
10.0,gender,balanced_accuracy,0.5092317360616926,0.7553910946698582,0.2461593586081656,0.3255082540735803,0.0092317360616926,25
10.0,gender,f1_macro,0.508551750397062,0.7553628770279436,0.24681112663088156,0.3263927509930243,nan,25
20.0,age,accuracy,0.4417673621034581,0.7201394684195483,0.27837210631609033,0.3866104948270304,nan,25
20.0,age,balanced_accuracy,0.36470647240911597,0.6267013872172061,0.26199491480809023,0.4162304496378755,0.11470647240911594,25
20.0,age,f1_macro,0.3426808992653065,0.6194209819093318,0.2767400826440253,0.4447992149533709,nan,25
20.0,gender,accuracy,0.5231917690768791,0.7554135467276363,0.23222177765075738,0.3071848707572356,nan,25
20.0,gender,balanced_accuracy,0.5230644404321514,0.7553910946698582,0.2323266542377068,0.30733595731808866,0.02306444043215142,25
20.0,gender,f1_macro,0.5227139991465715,0.7553628770279436,0.23264887788137215,0.30777796061732726,nan,25
50.0,age,accuracy,0.49487739354101173,0.7201394684195483,0.22526207487853672,0.31298529727535973,nan,25
50.0,age,balanced_accuracy,0.4100904333754135,0.6267013872172061,0.21661095384179266,0.34447105811429135,0.16009043337541354,25
50.0,age,f1_macro,0.38701008548804117,0.6194209819093318,0.23241089642129062,0.37388338333682747,nan,25
50.0,gender,accuracy,0.5635072877965132,0.7554135467276363,0.19190625893112323,0.25398663353214807,nan,25
50.0,gender,balanced_accuracy,0.5634053624884582,0.7553910946698582,0.19198573218140008,0.25410152459212487,0.06340536248845813,25
50.0,gender,f1_macro,0.5632108208295576,0.7553628770279436,0.19215205619838593,0.2543342594114616,nan,25
100.0,age,accuracy,0.5466110317233496,0.7201394684195483,0.17352843669619894,0.24107987583859408,nan,25
100.0,age,balanced_accuracy,0.45518004570995,0.6267013872172061,0.17152134150725623,0.27242707739344213,0.20518004570994997,25
100.0,age,f1_macro,0.43209030267849086,0.6194209819093318,0.18733067923084096,0.3009116954753541,nan,25
100.0,gender,accuracy,0.6054644184052587,0.7554135467276363,0.14994912832237783,0.19845410124420873,nan,25
100.0,gender,balanced_accuracy,0.6053859544911869,0.7553910946698582,0.1500051401786712,0.19853684092791193,0.10538595449118703,25
100.0,gender,f1_macro,0.6052824463856677,0.7553628770279436,0.15008043064227575,0.19864599816133122,nan,25
