task,classifier,train_fraction,seed,n_train,metric,value
gender,logistic_regression,0.1,13,1400,accuracy,0.7153472420691627
gender,logistic_regression,0.1,13,1400,balanced_accuracy,0.7152551106092477
gender,logistic_regression,0.1,13,1400,precision_macro,0.7154236151984827
gender,logistic_regression,0.1,13,1400,recall_macro,0.7152551106092477
gender,logistic_regression,0.1,13,1400,f1_macro,0.7152549319259889
gender,logistic_regression,0.1,13,1400,precision_micro,0.7153472420691627
gender,logistic_regression,0.1,13,1400,recall_micro,0.7153472420691627
gender,logistic_regression,0.1,13,1400,f1_micro,0.7153472420691627
gender,logistic_regression,0.1,13,1400,precision_weighted,0.7154047109585521
gender,logistic_regression,0.1,13,1400,recall_weighted,0.7153472420691627
gender,logistic_regression,0.1,13,1400,f1_weighted,0.7152915629351848
gender,random_forest,0.1,13,1400,accuracy,0.7147756501857674
gender,random_forest,0.1,13,1400,balanced_accuracy,0.7147243312899392
gender,random_forest,0.1,13,1400,precision_macro,0.7147786471099606
gender,random_forest,0.1,13,1400,recall_macro,0.7147243312899392
gender,random_forest,0.1,13,1400,f1_macro,0.7147325676537633
gender,random_forest,0.1,13,1400,precision_micro,0.7147756501857674
gender,random_forest,0.1,13,1400,recall_micro,0.7147756501857674
gender,random_forest,0.1,13,1400,f1_micro,0.7147756501857674
gender,random_forest,0.1,13,1400,precision_weighted,0.7147774188623404
gender,random_forest,0.1,13,1400,recall_weighted,0.7147756501857674
gender,random_forest,0.1,13,1400,f1_weighted,0.7147576156374865
gender,hist_gradient_boosting,0.1,13,1400,accuracy,0.715061446127465
gender,hist_gradient_boosting,0.1,13,1400,balanced_accuracy,0.7150244364329277
gender,hist_gradient_boosting,0.1,13,1400,precision_macro,0.7150522613242672
gender,hist_gradient_boosting,0.1,13,1400,recall_macro,0.7150244364329277
gender,hist_gradient_boosting,0.1,13,1400,f1_macro,0.7150312803649492
gender,hist_gradient_boosting,0.1,13,1400,precision_micro,0.715061446127465
gender,hist_gradient_boosting,0.1,13,1400,recall_micro,0.715061446127465
gender,hist_gradient_boosting,0.1,13,1400,f1_micro,0.715061446127465
gender,hist_gradient_boosting,0.1,13,1400,precision_weighted,0.7150571468578831
gender,hist_gradient_boosting,0.1,13,1400,recall_weighted,0.715061446127465
gender,hist_gradient_boosting,0.1,13,1400,f1_weighted,0.7150522288111407
gender,xgboost,0.1,13,1400,accuracy,0.7364961417547871
gender,xgboost,0.1,13,1400,balanced_accuracy,0.7364336792139042
gender,xgboost,0.1,13,1400,precision_macro,0.7365245612073931
gender,xgboost,0.1,13,1400,recall_macro,0.7364336792139042
gender,xgboost,0.1,13,1400,f1_macro,0.7364444553371566
gender,xgboost,0.1,13,1400,precision_micro,0.7364961417547871
gender,xgboost,0.1,13,1400,recall_micro,0.7364961417547871
gender,xgboost,0.1,13,1400,f1_micro,0.7364961417547871
gender,xgboost,0.1,13,1400,precision_weighted,0.7365148285181445
gender,xgboost,0.1,13,1400,recall_weighted,0.7364961417547871
gender,xgboost,0.1,13,1400,f1_weighted,0.7364708259583966
gender,mlp,0.1,13,1400,accuracy,0.7444984281223207
gender,mlp,0.1,13,1400,balanced_accuracy,0.7443669431489444
gender,mlp,0.1,13,1400,precision_macro,0.7447519127685893
gender,mlp,0.1,13,1400,recall_macro,0.7443669431489444
gender,mlp,0.1,13,1400,f1_macro,0.7443545792977377
gender,mlp,0.1,13,1400,precision_micro,0.7444984281223207
gender,mlp,0.1,13,1400,recall_micro,0.7444984281223207
gender,mlp,0.1,13,1400,f1_micro,0.7444984281223207
gender,mlp,0.1,13,1400,precision_weighted,0.7447069686823714
gender,mlp,0.1,13,1400,recall_weighted,0.7444984281223207
gender,mlp,0.1,13,1400,f1_weighted,0.7443979072569494
gender,logistic_regression,0.1,21,1400,accuracy,0.7247785081451843
gender,logistic_regression,0.1,21,1400,balanced_accuracy,0.7248359305415877
gender,logistic_regression,0.1,21,1400,precision_macro,0.7248616450191554
gender,logistic_regression,0.1,21,1400,recall_macro,0.7248359305415877
gender,logistic_regression,0.1,21,1400,f1_macro,0.7247762601363843
gender,logistic_regression,0.1,21,1400,precision_micro,0.7247785081451843
gender,logistic_regression,0.1,21,1400,recall_micro,0.7247785081451843
gender,logistic_regression,0.1,21,1400,f1_micro,0.7247785081451843
gender,logistic_regression,0.1,21,1400,precision_weighted,0.7249078321713615
gender,logistic_regression,0.1,21,1400,recall_weighted,0.7247785081451843
gender,logistic_regression,0.1,21,1400,f1_weighted,0.7247706401143843
gender,random_forest,0.1,21,1400,accuracy,0.7159188339525578
gender,random_forest,0.1,21,1400,balanced_accuracy,0.7160840346677801
gender,random_forest,0.1,21,1400,precision_macro,0.7164761624196003
