epsilon,delta,sensitivity,dp_seed,split,metric,k,value
0.5,1e-05,1.0,2026,train,cosine_mean,,0.004364011361981203
0.5,1e-05,1.0,2026,train,cosine_std,,0.05135353876647747
0.5,1e-05,1.0,2026,train,cosine_min,,-0.195050295237553
0.5,1e-05,1.0,2026,train,cosine_max,,0.2122955148796296
0.5,1e-05,1.0,2026,train,l2_distance_mean,,137.7354050825448
0.5,1e-05,1.0,2026,train,l2_distance_std,,5.006582058945541
0.5,1e-05,1.0,2026,train,l2_distance_min,,120.11287515072513
0.5,1e-05,1.0,2026,train,l2_distance_max,,160.23909788042658
0.5,1e-05,1.0,2026,train,absolute_delta_mean,,5.611284583871734
0.5,1e-05,1.0,2026,train,absolute_delta_std,,4.240579645294851
0.5,1e-05,1.0,2026,train,absolute_delta_min,,6.705522537231445e-07
0.5,1e-05,1.0,2026,train,absolute_delta_max,,36.34215145558119
0.5,1e-05,1.0,2026,train,original_norm_mean,,0.5873496396214581
0.5,1e-05,1.0,2026,train,original_norm_std,,0.09926824026493279
0.5,1e-05,1.0,2026,train,original_norm_min,,0.3025874329309691
0.5,1e-05,1.0,2026,train,original_norm_max,,1.0000000785710612
0.5,1e-05,1.0,2026,train,private_norm_mean,,137.73678888494328
0.5,1e-05,1.0,2026,train,private_norm_std,,5.006931271594939
0.5,1e-05,1.0,2026,train,private_norm_min,,120.10903938537291
0.5,1e-05,1.0,2026,train,private_norm_max,,160.2586312864734
0.5,1e-05,1.0,2026,train,relative_l2_distance_mean,,241.34472314242265
0.5,1e-05,1.0,2026,train,relative_l2_distance_std,,42.320472210677124
0.5,1e-05,1.0,2026,train,relative_l2_distance_min,,133.7057576699591
0.5,1e-05,1.0,2026,train,relative_l2_distance_max,,467.49276571157344
0.5,1e-05,1.0,2026,train,private_to_original_norm_ratio_mean,,241.34695780995142
0.5,1e-05,1.0,2026,train,private_to_original_norm_ratio_std,,42.319746670087596
0.5,1e-05,1.0,2026,train,private_to_original_norm_ratio_min,,133.72877200134505
0.5,1e-05,1.0,2026,train,private_to_original_norm_ratio_max,,467.43253588622144
0.5,1e-05,1.0,2026,train,neighbor_overlap,5,0.0003429796355841372
0.5,1e-05,1.0,2026,train,neighbor_overlap,10,0.0006859592711682743
0.5,1e-05,1.0,2026,train,neighbor_overlap,20,0.0014505180421579137
0.5,1e-05,1.0,2026,test,cosine_mean,,0.0032858135917198
0.5,1e-05,1.0,2026,test,cosine_std,,0.05040981313387628
0.5,1e-05,1.0,2026,test,cosine_min,,-0.18670496861140273
0.5,1e-05,1.0,2026,test,cosine_max,,0.21021224311056946
0.5,1e-05,1.0,2026,test,l2_distance_mean,,137.69746487791585
0.5,1e-05,1.0,2026,test,l2_distance_std,,5.0380185551980885
0.5,1e-05,1.0,2026,test,l2_distance_min,,116.22676274070244
0.5,1e-05,1.0,2026,test,l2_distance_max,,155.03591855561058
0.5,1e-05,1.0,2026,test,absolute_delta_mean,,5.611395451312448
0.5,1e-05,1.0,2026,test,absolute_delta_std,,4.237319945455506
0.5,1e-05,1.0,2026,test,absolute_delta_min,,4.473142325878143e-06
0.5,1e-05,1.0,2026,test,absolute_delta_max,,36.626606691628695
0.5,1e-05,1.0,2026,test,original_norm_mean,,0.5867764179447457
0.5,1e-05,1.0,2026,test,original_norm_std,,0.09971744554259364
0.5,1e-05,1.0,2026,test,original_norm_min,,0.32245568233794636
0.5,1e-05,1.0,2026,test,original_norm_max,,1.0000000278559538
0.5,1e-05,1.0,2026,test,private_norm_mean,,137.69832324360257
0.5,1e-05,1.0,2026,test,private_norm_std,,5.038397049563843
0.5,1e-05,1.0,2026,test,private_norm_min,,116.23159438492243
0.5,1e-05,1.0,2026,test,private_norm_max,,155.04085909084472
0.5,1e-05,1.0,2026,test,relative_l2_distance_mean,,241.65469926172153
0.5,1e-05,1.0,2026,test,relative_l2_distance_std,,43.01931695383048
0.5,1e-05,1.0,2026,test,relative_l2_distance_min,,141.95297286204678
0.5,1e-05,1.0,2026,test,relative_l2_distance_max,,442.7104002997214
0.5,1e-05,1.0,2026,test,private_to_original_norm_ratio_mean,,241.65585686486116
