privacy_mode,epsilon,delta,sensitivity,dp_seed,task,classifier,train_fraction,metric,mean,std,n,baseline_mean,privacy_gain_vs_baseline,relative_attack_reduction,chance_level,attack_advantage_over_chance
none,,,,,age,hist_gradient_boosting,0.1,accuracy,0.39718309859154927,0.006298783035210692,5,0.39718309859154927,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.1,balanced_accuracy,0.25,0.0,5,0.25,0.0,0.0,0.25,0.0
none,,,,,age,hist_gradient_boosting,0.1,f1_macro,0.14213131313131314,0.0016036447111362109,5,0.14213131313131314,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.25,accuracy,0.4084507042253521,0.0,5,0.4084507042253521,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.25,balanced_accuracy,0.25,0.0,5,0.25,0.0,0.0,0.25,0.0
none,,,,,age,hist_gradient_boosting,0.25,f1_macro,0.145,0.0,5,0.145,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.5,accuracy,0.6830985915492958,0.02587489164911809,5,0.6830985915492958,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.5,balanced_accuracy,0.49931650246305426,0.03974278726968402,5,0.49931650246305426,0.0,0.0,0.25,0.24931650246305426
none,,,,,age,hist_gradient_boosting,0.5,f1_macro,0.5117954945390155,0.05319588585598983,5,0.5117954945390155,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.75,accuracy,0.7225352112676056,0.02089069996364977,5,0.7225352112676056,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,0.75,balanced_accuracy,0.5917733990147782,0.05100744065456913,5,0.5917733990147782,0.0,0.0,0.25,0.3417733990147782
none,,,,,age,hist_gradient_boosting,0.75,f1_macro,0.6154968501530319,0.048593523854819264,5,0.6154968501530319,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,1.0,accuracy,0.7352112676056339,0.010680106259227523,5,0.7352112676056339,0.0,0.0,nan,nan
none,,,,,age,hist_gradient_boosting,1.0,balanced_accuracy,0.6108743842364532,0.03353176988596141,5,0.6108743842364532,0.0,0.0,0.25,0.36087438423645324
none,,,,,age,hist_gradient_boosting,1.0,f1_macro,0.6311338412411722,0.03264337118668964,5,0.6311338412411722,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.1,accuracy,0.5690140845070422,0.05014361441948706,5,0.5690140845070422,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.1,balanced_accuracy,0.4486514778325123,0.03525032126132911,5,0.4486514778325123,0.0,0.0,0.25,0.1986514778325123
none,,,,,age,logistic_regression,0.1,f1_macro,0.43444934759161846,0.06838031871583021,5,0.43444934759161846,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.25,accuracy,0.7225352112676056,0.044705831684799656,5,0.7225352112676056,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.25,balanced_accuracy,0.6388115763546798,0.06593547711606762,5,0.6388115763546798,0.0,0.0,0.25,0.3888115763546798
none,,,,,age,logistic_regression,0.25,f1_macro,0.6338343087907917,0.08370326442480419,5,0.6338343087907917,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.5,accuracy,0.7563380281690141,0.030937862868294072,5,0.7563380281690141,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.5,balanced_accuracy,0.6707820197044334,0.058802440572718655,5,0.6707820197044334,0.0,0.0,0.25,0.4207820197044334
none,,,,,age,logistic_regression,0.5,f1_macro,0.6737220975793532,0.05671243518719088,5,0.6737220975793532,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.75,accuracy,0.7985915492957747,0.02799240410472085,5,0.7985915492957747,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,0.75,balanced_accuracy,0.7527770935960592,0.03215697561180457,5,0.7527770935960592,0.0,0.0,0.25,0.5027770935960592
none,,,,,age,logistic_regression,0.75,f1_macro,0.7515059406431049,0.04999948288585149,5,0.7515059406431049,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,1.0,accuracy,0.8380281690140844,1.2412670766236366e-16,5,0.8380281690140844,0.0,0.0,nan,nan
none,,,,,age,logistic_regression,1.0,balanced_accuracy,0.8134544334975369,0.0,5,0.8134544334975369,0.0,0.0,0.25,0.5634544334975369
none,,,,,age,logistic_regression,1.0,f1_macro,0.8100400539985838,1.2412670766236366e-16,5,0.8100400539985838,0.0,0.0,nan,nan
none,,,,,age,mlp,0.1,accuracy,0.3957746478873239,0.09557767649196364,5,0.3957746478873239,0.0,0.0,nan,nan
none,,,,,age,mlp,0.1,balanced_accuracy,0.330326354679803,0.07581420661537727,5,0.330326354679803,0.0,0.0,0.25,0.08032635467980298
none,,,,,age,mlp,0.1,f1_macro,0.31085324163840244,0.06850740241518803,5,0.31085324163840244,0.0,0.0,nan,nan
none,,,,,age,mlp,0.25,accuracy,0.5676056338028169,0.11936567784173864,5,0.5676056338028169,0.0,0.0,nan,nan
none,,,,,age,mlp,0.25,balanced_accuracy,0.4769458128078818,0.08490201899083831,5,0.4769458128078818,0.0,0.0,0.25,0.22694581280788179
none,,,,,age,mlp,0.25,f1_macro,0.4511119088301537,0.07841131749893628,5,0.4511119088301537,0.0,0.0,nan,nan
none,,,,,age,mlp,0.5,accuracy,0.7140845070422536,0.05422992481177028,5,0.7140845070422536,0.0,0.0,nan,nan
none,,,,,age,mlp,0.5,balanced_accuracy,0.5811206896551724,0.06476012403155022,5,0.5811206896551724,0.0,0.0,0.25,0.3311206896551724
none,,,,,age,mlp,0.5,f1_macro,0.5768129768978179,0.07352956963720894,5,0.5768129768978179,0.0,0.0,nan,nan
none,,,,,age,mlp,0.75,accuracy,0.7295774647887324,0.03542190518298392,5,0.7295774647887324,0.0,0.0,nan,nan
none,,,,,age,mlp,0.75,balanced_accuracy,0.6020073891625616,0.04979972409582104,5,0.6020073891625616,0.0,0.0,0.25,0.3520073891625616
none,,,,,age,mlp,0.75,f1_macro,0.6026459708916809,0.06798783412943349,5,0.6026459708916809,0.0,0.0,nan,nan
none,,,,,age,mlp,1.0,accuracy,0.767605633802817,0.024898126098117868,5,0.767605633802817,0.0,0.0,nan,nan
none,,,,,age,mlp,1.0,balanced_accuracy,0.6870628078817734,0.031573027424068166,5,0.6870628078817734,0.0,0.0,0.25,0.43706280788177343
none,,,,,age,mlp,1.0,f1_macro,0.6935305958387264,0.04206169985206999,5,0.6935305958387264,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.1,accuracy,0.6140845070422536,0.04681907081294271,5,0.6140845070422536,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.1,balanced_accuracy,0.4295997536945813,0.059550935601111674,5,0.4295997536945813,0.0,0.0,0.25,0.1795997536945813
none,,,,,age,random_forest,0.1,f1_macro,0.409112603558202,0.07128876415299967,5,0.409112603558202,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.25,accuracy,0.7394366197183099,0.042545936526741435,5,0.7394366197183099,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.25,balanced_accuracy,0.53935960591133,0.07676476707338278,5,0.53935960591133,0.0,0.0,0.25,0.28935960591133003
none,,,,,age,random_forest,0.25,f1_macro,0.5562858676148486,0.10667501776636262,5,0.5562858676148486,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.5,accuracy,0.7380281690140845,0.030453166634422046,5,0.7380281690140845,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.5,balanced_accuracy,0.5306588669950739,0.05709056879573811,5,0.5306588669950739,0.0,0.0,0.25,0.2806588669950739
none,,,,,age,random_forest,0.5,f1_macro,0.5414738379549511,0.07580181032147229,5,0.5414738379549511,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.75,accuracy,0.7380281690140845,0.012597566070421333,5,0.7380281690140845,0.0,0.0,nan,nan
none,,,,,age,random_forest,0.75,balanced_accuracy,0.5548275862068965,0.025859781742631816,5,0.5548275862068965,0.0,0.0,0.25,0.30482758620689654
none,,,,,age,random_forest,0.75,f1_macro,0.5768979583997791,0.033230636238121725,5,0.5768979583997791,0.0,0.0,nan,nan
none,,,,,age,random_forest,1.0,accuracy,0.7352112676056338,0.010680106259227523,5,0.7352112676056338,0.0,0.0,nan,nan
none,,,,,age,random_forest,1.0,balanced_accuracy,0.5294704433497537,0.009296943751235649,5,0.5294704433497537,0.0,0.0,0.25,0.2794704433497537
none,,,,,age,random_forest,1.0,f1_macro,0.5500330647024414,0.01179654238664861,5,0.5500330647024414,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.1,accuracy,0.5816901408450704,0.053074489243427524,5,0.5816901408450704,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.1,balanced_accuracy,0.4004926108374384,0.06460691959684167,5,0.4004926108374384,0.0,0.0,0.25,0.15049261083743842
none,,,,,age,xgboost,0.1,f1_macro,0.3825193247029456,0.07478083142655902,5,0.3825193247029456,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.25,accuracy,0.6943661971830986,0.03908292091693411,5,0.6943661971830986,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.25,balanced_accuracy,0.5215086206896551,0.07052796843657409,5,0.5215086206896551,0.0,0.0,0.25,0.2715086206896551
none,,,,,age,xgboost,0.25,f1_macro,0.5303671499292704,0.08812775864581016,5,0.5303671499292704,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.5,accuracy,0.7422535211267606,0.045257095811435576,5,0.7422535211267606,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.5,balanced_accuracy,0.5838054187192119,0.07213789856749729,5,0.5838054187192119,0.0,0.0,0.25,0.3338054187192119
none,,,,,age,xgboost,0.5,f1_macro,0.6054538657609589,0.08459489555633394,5,0.6054538657609589,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.75,accuracy,0.7577464788732394,0.010680106259227521,5,0.7577464788732394,0.0,0.0,nan,nan
none,,,,,age,xgboost,0.75,balanced_accuracy,0.6317857142857143,0.013171018896220237,5,0.6317857142857143,0.0,0.0,0.25,0.3817857142857143
none,,,,,age,xgboost,0.75,f1_macro,0.6664906993874472,0.022032742042485513,5,0.6664906993874472,0.0,0.0,nan,nan
none,,,,,age,xgboost,1.0,accuracy,0.7746478873239437,0.012197540898372359,5,0.7746478873239437,0.0,0.0,nan,nan
none,,,,,age,xgboost,1.0,balanced_accuracy,0.6649076354679803,0.039939306078088925,5,0.6649076354679803,0.0,0.0,0.25,0.41490763546798026
none,,,,,age,xgboost,1.0,f1_macro,0.7050757725522768,0.04498278892558668,5,0.7050757725522768,0.0,0.0,nan,nan
