task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
gender,logistic_regression,0.1,13,16,F,0.49333333333333335,0.5211267605633803,0.5068493150684932,71.0
gender,logistic_regression,0.1,13,16,M,0.4925373134328358,0.4647887323943662,0.4782608695652174,71.0
gender,random_forest,0.1,13,16,F,0.4666666666666667,0.39436619718309857,0.42748091603053434,71.0
gender,random_forest,0.1,13,16,M,0.47560975609756095,0.5492957746478874,0.5098039215686274,71.0
gender,hist_gradient_boosting,0.1,13,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,13,16,M,0.0,0.0,0.0,71.0
gender,xgboost,0.1,13,16,F,0.4883720930232558,0.29577464788732394,0.3684210526315789,71.0
gender,xgboost,0.1,13,16,M,0.494949494949495,0.6901408450704225,0.5764705882352941,71.0
gender,mlp,0.1,13,16,F,0.4953271028037383,0.7464788732394366,0.5955056179775281,71.0
gender,mlp,0.1,13,16,M,0.4857142857142857,0.23943661971830985,0.32075471698113206,71.0
gender,logistic_regression,0.1,21,16,F,0.55,0.6197183098591549,0.5827814569536424,71.0
gender,logistic_regression,0.1,21,16,M,0.5645161290322581,0.49295774647887325,0.5263157894736842,71.0
gender,random_forest,0.1,21,16,F,0.5230769230769231,0.4788732394366197,0.5,71.0
gender,random_forest,0.1,21,16,M,0.5194805194805194,0.5633802816901409,0.5405405405405406,71.0
gender,hist_gradient_boosting,0.1,21,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,21,16,M,0.0,0.0,0.0,71.0
gender,xgboost,0.1,21,16,F,0.45714285714285713,0.4507042253521127,0.45390070921985815,71.0
gender,xgboost,0.1,21,16,M,0.4583333333333333,0.4647887323943662,0.46153846153846156,71.0
gender,mlp,0.1,21,16,F,0.5038167938931297,0.9295774647887324,0.6534653465346535,71.0
gender,mlp,0.1,21,16,M,0.5454545454545454,0.08450704225352113,0.14634146341463414,71.0
gender,logistic_regression,0.1,34,16,F,0.46,0.323943661971831,0.38016528925619836,71.0
gender,logistic_regression,0.1,34,16,M,0.4782608695652174,0.6197183098591549,0.5398773006134969,71.0
gender,random_forest,0.1,34,16,F,0.4805194805194805,0.5211267605633803,0.5,71.0
gender,random_forest,0.1,34,16,M,0.47692307692307695,0.43661971830985913,0.45588235294117646,71.0
gender,hist_gradient_boosting,0.1,34,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,34,16,M,0.0,0.0,0.0,71.0
gender,xgboost,0.1,34,16,F,0.4444444444444444,0.4507042253521127,0.44755244755244755,71.0
gender,xgboost,0.1,34,16,M,0.44285714285714284,0.43661971830985913,0.4397163120567376,71.0
gender,mlp,0.1,34,16,F,0.5555555555555556,0.352112676056338,0.43103448275862066,71.0
gender,mlp,0.1,34,16,M,0.5257731958762887,0.7183098591549296,0.6071428571428571,71.0
gender,logistic_regression,0.1,55,16,F,0.6181818181818182,0.4788732394366197,0.5396825396825397,71.0
gender,logistic_regression,0.1,55,16,M,0.5747126436781609,0.704225352112676,0.6329113924050633,71.0
gender,random_forest,0.1,55,16,F,0.5066666666666667,0.5352112676056338,0.5205479452054794,71.0
gender,random_forest,0.1,55,16,M,0.5074626865671642,0.4788732394366197,0.4927536231884058,71.0
gender,hist_gradient_boosting,0.1,55,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,55,16,M,0.0,0.0,0.0,71.0
gender,xgboost,0.1,55,16,F,0.53125,0.7183098591549296,0.6107784431137725,71.0
gender,xgboost,0.1,55,16,M,0.5652173913043478,0.36619718309859156,0.4444444444444444,71.0
