task,classifier,train_fraction,seed,n_train,metric,value
gender,logistic_regression,0.1,13,16,accuracy,0.49295774647887325
gender,logistic_regression,0.1,13,16,balanced_accuracy,0.49295774647887325
gender,logistic_regression,0.1,13,16,precision_macro,0.49293532338308454
gender,logistic_regression,0.1,13,16,recall_macro,0.49295774647887325
gender,logistic_regression,0.1,13,16,f1_macro,0.4925550923168553
gender,logistic_regression,0.1,13,16,precision_micro,0.49295774647887325
gender,logistic_regression,0.1,13,16,recall_micro,0.49295774647887325
gender,logistic_regression,0.1,13,16,f1_micro,0.49295774647887325
gender,logistic_regression,0.1,13,16,precision_weighted,0.49293532338308454
gender,logistic_regression,0.1,13,16,recall_weighted,0.49295774647887325
gender,logistic_regression,0.1,13,16,f1_weighted,0.4925550923168553
gender,random_forest,0.1,13,16,accuracy,0.47183098591549294
gender,random_forest,0.1,13,16,balanced_accuracy,0.471830985915493
gender,random_forest,0.1,13,16,precision_macro,0.4711382113821138
gender,random_forest,0.1,13,16,recall_macro,0.471830985915493
gender,random_forest,0.1,13,16,f1_macro,0.4686424187995809
gender,random_forest,0.1,13,16,precision_micro,0.47183098591549294
gender,random_forest,0.1,13,16,recall_micro,0.47183098591549294
gender,random_forest,0.1,13,16,f1_micro,0.47183098591549294
gender,random_forest,0.1,13,16,precision_weighted,0.47113821138211387
gender,random_forest,0.1,13,16,recall_weighted,0.47183098591549294
gender,random_forest,0.1,13,16,f1_weighted,0.46864241879958085
gender,hist_gradient_boosting,0.1,13,16,accuracy,0.5
gender,hist_gradient_boosting,0.1,13,16,balanced_accuracy,0.5
gender,hist_gradient_boosting,0.1,13,16,precision_macro,0.25
gender,hist_gradient_boosting,0.1,13,16,recall_macro,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_macro,0.3333333333333333
gender,hist_gradient_boosting,0.1,13,16,precision_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,recall_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_micro,0.5
