split,metric,k,value
train,cosine_mean,,0.08154911864239628
train,cosine_std,,0.04848767247157652
train,cosine_min,,-0.07905570736435931
train,cosine_max,,0.1880941884610031
train,l2_distance_mean,,5.672057157334813
train,l2_distance_std,,0.21958428596468985
train,l2_distance_min,,5.236644271436325
train,l2_distance_max,,6.332412188237527
train,absolute_delta_mean,,0.23070318808639395
train,absolute_delta_std,,0.17516694888761433
train,absolute_delta_min,,4.239380359649658e-06
train,absolute_delta_max,,1.2091992544010282
train,original_norm_mean,,0.43547167974391526
train,original_norm_std,,0.05032881173774303
train,original_norm_min,,0.3358296564388482
train,original_norm_max,,0.608395872683312
train,private_norm_mean,,5.691279120723035
train,private_norm_std,,0.21792111258964317
train,private_norm_min,,5.239009228976458
train,private_norm_max,,6.354701617622847
train,relative_l2_distance_mean,,13.196496098665731
train,relative_l2_distance_std,,1.5875210210212194
train,relative_l2_distance_min,,9.682578413441089
train,relative_l2_distance_max,,16.690219891371328
train,private_to_original_norm_ratio_mean,,13.239891736181876
train,private_to_original_norm_ratio_std,,1.5803250217842455
train,private_to_original_norm_ratio_min,,9.806962365768914
train,private_to_original_norm_ratio_max,,16.77430971878912
train,neighbor_overlap,5,0.043421052631578944
train,neighbor_overlap,10,0.07894736842105263
train,neighbor_overlap,20,0.13782894736842105
test,cosine_mean,,0.08668404012607067
test,cosine_std,,0.05649126419758829
test,cosine_min,,-0.053864522221862304
test,cosine_max,,0.2649204306377268
test,l2_distance_mean,,5.672322859673175
test,l2_distance_std,,0.1958817630886172
test,l2_distance_min,,5.205295505055376
test,l2_distance_max,,6.102798249287967
test,absolute_delta_mean,,0.23075057178096567
test,absolute_delta_std,,0.17505370426419334
test,absolute_delta_min,,4.915520548820496e-06
test,absolute_delta_max,,1.213188903115224
test,original_norm_mean,,0.44208744484978685
test,original_norm_std,,0.07041193634569161
test,original_norm_min,,0.33330873483128737
test,original_norm_max,,0.8765038329515334
test,private_norm_mean,,5.6941785516494905
test,private_norm_std,,0.1981106144463848
test,private_norm_min,,5.242054175620177
test,private_norm_max,,6.140251110329508
test,relative_l2_distance_mean,,13.089476838372454
test,relative_l2_distance_std,,1.7464648928199908
test,relative_l2_distance_min,,6.139560261999745
test,relative_l2_distance_max,,18.067567086428618
test,private_to_original_norm_ratio_mean,,13.137523877481183
test,private_to_original_norm_ratio_std,,1.7406727228041001
test,private_to_original_norm_ratio_min,,6.2841282194901895
test,private_to_original_norm_ratio_max,,18.180464567303336
test,neighbor_overlap,5,0.04647887323943662
test,neighbor_overlap,10,0.06760563380281691
test,neighbor_overlap,20,0.14471830985915496
