task,classifier,train_fraction,seed,n_train,metric,value
gender,logistic_regression,0.1,13,16,accuracy,0.5
gender,logistic_regression,0.1,13,16,balanced_accuracy,0.5
gender,logistic_regression,0.1,13,16,precision_macro,0.5
gender,logistic_regression,0.1,13,16,recall_macro,0.5
gender,logistic_regression,0.1,13,16,f1_macro,0.499776730339866
gender,logistic_regression,0.1,13,16,precision_micro,0.5
gender,logistic_regression,0.1,13,16,recall_micro,0.5
gender,logistic_regression,0.1,13,16,f1_micro,0.5
gender,logistic_regression,0.1,13,16,precision_weighted,0.5
gender,logistic_regression,0.1,13,16,recall_weighted,0.5
gender,logistic_regression,0.1,13,16,f1_weighted,0.4997767303398661
gender,random_forest,0.1,13,16,accuracy,0.4859154929577465
gender,random_forest,0.1,13,16,balanced_accuracy,0.4859154929577465
gender,random_forest,0.1,13,16,precision_macro,0.48556910569105693
gender,random_forest,0.1,13,16,recall_macro,0.4859154929577465
gender,random_forest,0.1,13,16,f1_macro,0.48281195429825874
gender,random_forest,0.1,13,16,precision_micro,0.4859154929577465
gender,random_forest,0.1,13,16,recall_micro,0.4859154929577465
gender,random_forest,0.1,13,16,f1_micro,0.4859154929577465
gender,random_forest,0.1,13,16,precision_weighted,0.48556910569105693
gender,random_forest,0.1,13,16,recall_weighted,0.4859154929577465
gender,random_forest,0.1,13,16,f1_weighted,0.4828119542982588
gender,hist_gradient_boosting,0.1,13,16,accuracy,0.5
gender,hist_gradient_boosting,0.1,13,16,balanced_accuracy,0.5
gender,hist_gradient_boosting,0.1,13,16,precision_macro,0.25
gender,hist_gradient_boosting,0.1,13,16,recall_macro,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_macro,0.3333333333333333
gender,hist_gradient_boosting,0.1,13,16,precision_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,recall_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_micro,0.5
gender,hist_gradient_boosting,0.1,13,16,precision_weighted,0.25
gender,hist_gradient_boosting,0.1,13,16,recall_weighted,0.5
gender,hist_gradient_boosting,0.1,13,16,f1_weighted,0.3333333333333333
gender,xgboost,0.1,13,16,accuracy,0.528169014084507
gender,xgboost,0.1,13,16,balanced_accuracy,0.528169014084507
gender,xgboost,0.1,13,16,precision_macro,0.5321557971014492
gender,xgboost,0.1,13,16,recall_macro,0.528169014084507
gender,xgboost,0.1,13,16,f1_macro,0.513076411280004
gender,xgboost,0.1,13,16,precision_micro,0.528169014084507
gender,xgboost,0.1,13,16,recall_micro,0.528169014084507
gender,xgboost,0.1,13,16,f1_micro,0.528169014084507
gender,xgboost,0.1,13,16,precision_weighted,0.5321557971014492
gender,xgboost,0.1,13,16,recall_weighted,0.528169014084507
gender,xgboost,0.1,13,16,f1_weighted,0.513076411280004
gender,mlp,0.1,13,16,accuracy,0.4859154929577465
gender,mlp,0.1,13,16,balanced_accuracy,0.4859154929577465
gender,mlp,0.1,13,16,precision_macro,0.48139412997903563
gender,mlp,0.1,13,16,recall_macro,0.4859154929577465
gender,mlp,0.1,13,16,f1_macro,0.45266381540736045
gender,mlp,0.1,13,16,precision_micro,0.4859154929577465
gender,mlp,0.1,13,16,recall_micro,0.4859154929577465
gender,mlp,0.1,13,16,f1_micro,0.4859154929577465
gender,mlp,0.1,13,16,precision_weighted,0.4813941299790356
gender,mlp,0.1,13,16,recall_weighted,0.4859154929577465
gender,mlp,0.1,13,16,f1_weighted,0.45266381540736045
gender,logistic_regression,0.1,21,16,accuracy,0.5563380281690141
gender,logistic_regression,0.1,21,16,balanced_accuracy,0.556338028169014
gender,logistic_regression,0.1,21,16,precision_macro,0.5572580645161291
gender,logistic_regression,0.1,21,16,recall_macro,0.556338028169014
gender,logistic_regression,0.1,21,16,f1_macro,0.5545486232136633
gender,logistic_regression,0.1,21,16,precision_micro,0.5563380281690141
gender,logistic_regression,0.1,21,16,recall_micro,0.5563380281690141
gender,logistic_regression,0.1,21,16,f1_micro,0.5563380281690141
gender,logistic_regression,0.1,21,16,precision_weighted,0.5572580645161291
gender,logistic_regression,0.1,21,16,recall_weighted,0.5563380281690141
gender,logistic_regression,0.1,21,16,f1_weighted,0.5545486232136633
gender,random_forest,0.1,21,16,accuracy,0.528169014084507
gender,random_forest,0.1,21,16,balanced_accuracy,0.528169014084507
gender,random_forest,0.1,21,16,precision_macro,0.5284455128205128
gender,random_forest,0.1,21,16,recall_macro,0.528169014084507
gender,random_forest,0.1,21,16,f1_macro,0.5270196370867511
gender,random_forest,0.1,21,16,precision_micro,0.528169014084507
gender,random_forest,0.1,21,16,recall_micro,0.528169014084507
gender,random_forest,0.1,21,16,f1_micro,0.528169014084507
gender,random_forest,0.1,21,16,precision_weighted,0.5284455128205128
gender,random_forest,0.1,21,16,recall_weighted,0.528169014084507
gender,random_forest,0.1,21,16,f1_weighted,0.5270196370867511
gender,hist_gradient_boosting,0.1,21,16,accuracy,0.5
gender,hist_gradient_boosting,0.1,21,16,balanced_accuracy,0.5
gender,hist_gradient_boosting,0.1,21,16,precision_macro,0.25
gender,hist_gradient_boosting,0.1,21,16,recall_macro,0.5
gender,hist_gradient_boosting,0.1,21,16,f1_macro,0.3333333333333333
gender,hist_gradient_boosting,0.1,21,16,precision_micro,0.5
gender,hist_gradient_boosting,0.1,21,16,recall_micro,0.5
gender,hist_gradient_boosting,0.1,21,16,f1_micro,0.5
gender,hist_gradient_boosting,0.1,21,16,precision_weighted,0.25
gender,hist_gradient_boosting,0.1,21,16,recall_weighted,0.5
gender,hist_gradient_boosting,0.1,21,16,f1_weighted,0.3333333333333333
gender,xgboost,0.1,21,16,accuracy,0.44366197183098594
