task,classifier,train_fraction,seed,n_train,class_label,precision,recall,f1,support
gender,logistic_regression,0.1,13,16,F,0.5,0.5070422535211268,0.5034965034965035,71.0
gender,logistic_regression,0.1,13,16,M,0.5,0.49295774647887325,0.49645390070921985,71.0
gender,random_forest,0.1,13,16,F,0.47619047619047616,0.4225352112676056,0.44776119402985076,71.0
gender,random_forest,0.1,13,16,M,0.4810126582278481,0.5352112676056338,0.5066666666666667,71.0
gender,hist_gradient_boosting,0.1,13,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,13,16,M,0.0,0.0,0.0,71.0
gender,xgboost,0.1,13,16,F,0.49019607843137253,0.352112676056338,0.4098360655737705,71.0
gender,xgboost,0.1,13,16,M,0.4945054945054945,0.6338028169014085,0.5555555555555556,71.0
gender,mlp,0.1,13,16,F,0.4953271028037383,0.7464788732394366,0.5955056179775281,71.0
gender,mlp,0.1,13,16,M,0.4857142857142857,0.23943661971830985,0.32075471698113206,71.0
gender,logistic_regression,0.1,21,16,F,0.5432098765432098,0.6197183098591549,0.5789473684210527,71.0
gender,logistic_regression,0.1,21,16,M,0.5573770491803278,0.4788732394366197,0.5151515151515151,71.0
gender,random_forest,0.1,21,16,F,0.5316455696202531,0.5915492957746479,0.56,71.0
gender,random_forest,0.1,21,16,M,0.5396825396825397,0.4788732394366197,0.5074626865671642,71.0
gender,hist_gradient_boosting,0.1,21,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,21,16,M,0.0,0.0,0.0,71.0
gender,xgboost,0.1,21,16,F,0.4032258064516129,0.352112676056338,0.37593984962406013,71.0
gender,xgboost,0.1,21,16,M,0.425,0.4788732394366197,0.4503311258278146,71.0
gender,mlp,0.1,21,16,F,0.5,0.9295774647887324,0.6502463054187192,71.0
gender,mlp,0.1,21,16,M,0.5,0.07042253521126761,0.12345679012345678,71.0
gender,logistic_regression,0.1,34,16,F,0.49056603773584906,0.36619718309859156,0.41935483870967744,71.0
gender,logistic_regression,0.1,34,16,M,0.4943820224719101,0.6197183098591549,0.55,71.0
gender,random_forest,0.1,34,16,F,0.4583333333333333,0.4647887323943662,0.46153846153846156,71.0
gender,random_forest,0.1,34,16,M,0.45714285714285713,0.4507042253521127,0.45390070921985815,71.0
gender,hist_gradient_boosting,0.1,34,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,34,16,M,0.0,0.0,0.0,71.0
gender,xgboost,0.1,34,16,F,0.42857142857142855,0.38028169014084506,0.40298507462686567,71.0
gender,xgboost,0.1,34,16,M,0.4430379746835443,0.49295774647887325,0.4666666666666667,71.0
gender,mlp,0.1,34,16,F,0.5510204081632653,0.38028169014084506,0.45,71.0
gender,mlp,0.1,34,16,M,0.5268817204301075,0.6901408450704225,0.5975609756097561,71.0
gender,logistic_regression,0.1,55,16,F,0.5964912280701754,0.4788732394366197,0.53125,71.0
gender,logistic_regression,0.1,55,16,M,0.5647058823529412,0.676056338028169,0.6153846153846154,71.0
gender,random_forest,0.1,55,16,F,0.5454545454545454,0.5915492957746479,0.5675675675675675,71.0
gender,random_forest,0.1,55,16,M,0.5538461538461539,0.5070422535211268,0.5294117647058824,71.0
gender,hist_gradient_boosting,0.1,55,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,55,16,M,0.0,0.0,0.0,71.0
gender,xgboost,0.1,55,16,F,0.5161290322580645,0.676056338028169,0.5853658536585366,71.0
gender,xgboost,0.1,55,16,M,0.5306122448979592,0.36619718309859156,0.43333333333333335,71.0
gender,mlp,0.1,55,16,F,0.5230769230769231,0.9577464788732394,0.6766169154228856,71.0
gender,mlp,0.1,55,16,M,0.75,0.1267605633802817,0.21686746987951808,71.0
gender,logistic_regression,0.1,89,16,F,0.5238095238095238,0.6197183098591549,0.567741935483871,71.0
gender,logistic_regression,0.1,89,16,M,0.5344827586206896,0.43661971830985913,0.4806201550387597,71.0
gender,random_forest,0.1,89,16,F,0.5714285714285714,0.676056338028169,0.6193548387096774,71.0
gender,random_forest,0.1,89,16,M,0.603448275862069,0.49295774647887325,0.5426356589147286,71.0
gender,hist_gradient_boosting,0.1,89,16,F,0.5,1.0,0.6666666666666666,71.0
gender,hist_gradient_boosting,0.1,89,16,M,0.0,0.0,0.0,71.0
gender,xgboost,0.1,89,16,F,0.5319148936170213,0.352112676056338,0.423728813559322,71.0
gender,xgboost,0.1,89,16,M,0.5157894736842106,0.6901408450704225,0.5903614457831325,71.0
gender,mlp,0.1,89,16,F,0.5221238938053098,0.8309859154929577,0.6413043478260869,71.0
