epsilon,task,metric,mean_attack_score,mean_baseline_score,mean_privacy_gain_vs_baseline,mean_relative_attack_reduction,mean_attack_advantage_over_chance,n_groups
0.5,age,accuracy,0.3763943661971831,0.6768450704225353,0.30045070422535214,0.4212765142928092,nan,25
0.5,age,balanced_accuracy,0.24844482758620692,0.5436128078817734,0.29516798029556646,0.500506614732148,-0.0015551724137931023,25
0.5,age,f1_macro,0.21777118050859529,0.5403109634531156,0.3225397829445202,0.5439323687381855,nan,25
0.5,gender,accuracy,0.5093521126760564,0.728394366197183,0.2190422535211268,0.28380731053472136,nan,25
0.5,gender,balanced_accuracy,0.5093521126760564,0.728394366197183,0.2190422535211268,0.28380731053472136,0.009352112676056321,25
0.5,gender,f1_macro,0.4875056383885788,0.7123419192871586,0.22483628089857988,0.29297517042692706,nan,25
1.0,age,accuracy,0.37712676056338024,0.6768450704225353,0.29971830985915493,0.4203342271417281,nan,25
1.0,age,balanced_accuracy,0.2491472906403941,0.5436128078817734,0.2944655172413793,0.49923618273507153,-0.0008527093596058977,25
1.0,age,f1_macro,0.21854797312756516,0.5403109634531156,0.3217629903255503,0.5426065693206745,nan,25
1.0,gender,accuracy,0.5089014084507042,0.728394366197183,0.21949295774647887,0.2844914164581676,nan,25
1.0,gender,balanced_accuracy,0.5089014084507042,0.728394366197183,0.2194929577464789,0.2844914164581676,0.008901408450704194,25
1.0,gender,f1_macro,0.4868457034770761,0.7123419192871586,0.22549621581008247,0.293956552773695,nan,25
5.0,age,accuracy,0.38281690140845065,0.6768450704225353,0.2940281690140845,0.4125686497842203,nan,25
5.0,age,balanced_accuracy,0.25194482758620684,0.5436128078817734,0.2916679802955665,0.4944419227700656,0.001944827586206902,25
5.0,age,f1_macro,0.22101425505320882,0.5403109634531156,0.31929670839990665,0.5384140255139764,nan,25
5.0,gender,accuracy,0.5093521126760563,0.728394366197183,0.2190422535211268,0.28370626756762996,nan,25
5.0,gender,balanced_accuracy,0.5093521126760563,0.728394366197183,0.21904225352112675,0.28370626756762996,0.00935211267605633,25
5.0,gender,f1_macro,0.4879436247133473,0.7123419192871586,0.2243982945738113,0.29228890318363787,nan,25
10.0,age,accuracy,0.3827042253521127,0.6768450704225353,0.2941408450704226,0.41256974071324154,nan,25
10.0,age,balanced_accuracy,0.25222733990147783,0.5436128078817734,0.2913854679802956,0.4940493245081888,0.002227339901477834,25
10.0,age,f1_macro,0.2214075165158816,0.5403109634531156,0.3189034469372339,0.5378915156570685,nan,25
10.0,gender,accuracy,0.5109859154929577,0.728394366197183,0.21740845070422538,0.2814672430002652,nan,25
10.0,gender,balanced_accuracy,0.5109859154929577,0.728394366197183,0.21740845070422538,0.2814672430002652,0.010985915492957719,25
10.0,gender,f1_macro,0.48965153582141696,0.7123419192871586,0.22269038346574163,0.289881649824733,nan,25
20.0,age,accuracy,0.3819154929577465,0.6768450704225353,0.29492957746478876,0.41376138502832327,nan,25
20.0,age,balanced_accuracy,0.25196256157635466,0.5436128078817734,0.2916502463054187,0.49473876573736086,0.00196256157635468,25
20.0,age,f1_macro,0.22145216252389308,0.5403109634531156,0.3188588009292225,0.538094900252002,nan,25
20.0,gender,accuracy,0.5110422535211268,0.728394366197183,0.21735211267605636,0.282011487177642,nan,25
20.0,gender,balanced_accuracy,0.5110422535211268,0.728394366197183,0.21735211267605636,0.282011487177642,0.011042253521126755,25
20.0,gender,f1_macro,0.4900853701733561,0.7123419192871586,0.2222565491138025,0.28984743257518164,nan,25
50.0,age,accuracy,0.3921126760563381,0.6768450704225353,0.2847323943661972,0.39949758608901703,nan,25
50.0,age,balanced_accuracy,0.25836748768472906,0.5436128078817734,0.2852453201970443,0.4830468854859372,0.008367487684729075,25
50.0,age,f1_macro,0.2275796115033212,0.5403109634531156,0.31273135194979423,0.5266855783561158,nan,25
50.0,gender,accuracy,0.5180281690140845,0.728394366197183,0.21036619718309862,0.27276655897003665,nan,25
50.0,gender,balanced_accuracy,0.5180281690140845,0.728394366197183,0.21036619718309857,0.27276655897003665,0.01802816901408449,25
50.0,gender,f1_macro,0.4973414891736679,0.7123419192871586,0.2150004301134907,0.28027340451524146,nan,25
100.0,age,accuracy,0.41735211267605626,0.6768450704225353,0.25949295774647896,0.36563114558372933,nan,25
100.0,age,balanced_accuracy,0.27492241379310345,0.5436128078817734,0.26869039408866996,0.4560903445934867,0.02492241379310345,25
100.0,age,f1_macro,0.24270248439135755,0.5403109634531156,0.2976084790617579,0.5028864785318966,nan,25
100.0,gender,accuracy,0.5252394366197183,0.728394366197183,0.2031549295774648,0.2634375545185302,nan,25
100.0,gender,balanced_accuracy,0.5252394366197183,0.728394366197183,0.2031549295774648,0.2634375545185302,0.02523943661971828,25
100.0,gender,f1_macro,0.5037807551304013,0.7123419192871586,0.2085611641567574,0.2719265240652844,nan,25
