epsilon,delta,sensitivity,dp_seed,split,metric,k,value
0.5,1e-05,1.0,2026,train,cosine_mean,,0.008272826759138157
0.5,1e-05,1.0,2026,train,cosine_std,,0.04739572924079547
0.5,1e-05,1.0,2026,train,cosine_min,,-0.1432290413596526
0.5,1e-05,1.0,2026,train,cosine_max,,0.10834801870236731
0.5,1e-05,1.0,2026,train,l2_distance_mean,,137.51517444144838
0.5,1e-05,1.0,2026,train,l2_distance_std,,5.323671966568135
0.5,1e-05,1.0,2026,train,l2_distance_min,,126.95888447457983
0.5,1e-05,1.0,2026,train,l2_distance_max,,153.52503380746265
0.5,1e-05,1.0,2026,train,absolute_delta_mean,,5.593242146935449
0.5,1e-05,1.0,2026,train,absolute_delta_std,,4.246803737627415
0.5,1e-05,1.0,2026,train,absolute_delta_min,,0.00010279566049575806
0.5,1e-05,1.0,2026,train,absolute_delta_max,,29.316216056235135
0.5,1e-05,1.0,2026,train,original_norm_mean,,0.43547167974391526
0.5,1e-05,1.0,2026,train,original_norm_std,,0.05032881173774303
0.5,1e-05,1.0,2026,train,original_norm_min,,0.3358296564388482
0.5,1e-05,1.0,2026,train,original_norm_max,,0.608395872683312
0.5,1e-05,1.0,2026,train,private_norm_mean,,137.51819843512328
0.5,1e-05,1.0,2026,train,private_norm_std,,5.321738051617065
0.5,1e-05,1.0,2026,train,private_norm_min,,126.94716700243931
0.5,1e-05,1.0,2026,train,private_norm_max,,153.5343885615472
0.5,1e-05,1.0,2026,train,relative_l2_distance_mean,,319.94008747274773
0.5,1e-05,1.0,2026,train,relative_l2_distance_std,,38.48836934373483
0.5,1e-05,1.0,2026,train,relative_l2_distance_min,,234.74753832192042
0.5,1e-05,1.0,2026,train,relative_l2_distance_max,,404.6430500098364
0.5,1e-05,1.0,2026,train,private_to_original_norm_ratio_mean,,319.9467780010962
0.5,1e-05,1.0,2026,train,private_to_original_norm_ratio_std,,38.484932999346775
0.5,1e-05,1.0,2026,train,private_to_original_norm_ratio_min,,234.82319981923075
0.5,1e-05,1.0,2026,train,private_to_original_norm_ratio_max,,404.6986258522868
0.5,1e-05,1.0,2026,train,neighbor_overlap,5,0.04078947368421053
0.5,1e-05,1.0,2026,train,neighbor_overlap,10,0.0769736842105263
0.5,1e-05,1.0,2026,train,neighbor_overlap,20,0.13322368421052633
0.5,1e-05,1.0,2026,test,cosine_mean,,0.01246062316421421
0.5,1e-05,1.0,2026,test,cosine_std,,0.05531672032934711
0.5,1e-05,1.0,2026,test,cosine_min,,-0.11568357473714146
0.5,1e-05,1.0,2026,test,cosine_max,,0.19255483331926637
0.5,1e-05,1.0,2026,test,l2_distance_mean,,137.52161629783245
0.5,1e-05,1.0,2026,test,l2_distance_std,,4.749020363740768
0.5,1e-05,1.0,2026,test,l2_distance_min,,126.19885494527962
0.5,1e-05,1.0,2026,test,l2_distance_max,,147.95819981185966
0.5,1e-05,1.0,2026,test,absolute_delta_mean,,5.594390935216038
